datetime,price_raw,log_price,log_price_seasonal,log_price_resid,temp_raw,temp_seasonal,temp_resid
2026-01-01 00:00:00+00:00,78.11,6.982964787079459,6.974085827581826,0.00887895949763351,-1.85,4.54248021440834,-6.392480238250198
2026-01-01 01:00:00+00:00,72.94,6.978157823080277,6.97136404576963,0.006793777310647009,-2.75,4.5328883545425285,-7.2828883545425285
2026-01-01 02:00:00+00:00,57.46,6.963625085145946,6.966292011131561,-0.0026669259856149097,-2.8,4.492058971796614,-7.292058924112898
2026-01-01 03:00:00+00:00,31.25,6.9385269376488905,6.964526792085678,-0.02599985443678765,-2.4,4.3749625533802,-6.774962648747632
2026-01-01 04:00:00+00:00,25.32,6.932760037971703,6.9713271331743885,-0.03856709520268531,-2.3,4.165444519072933,-6.465444471389217
2026-01-01 05:00:00+00:00,24.13,6.931598750666587,6.986763286919218,-0.05516453625263118,-3.5,3.9078124944490042,-7.407812494449004
2026-01-01 06:00:00+00:00,47.42,6.954085276564744,7.007188193049858,-0.05310291648511445,-2.0,3.7121279484775314,-5.712127948477532
2026-01-01 07:00:00+00:00,31.72,6.93898259139871,7.025658535591264,-0.08667594419255398,-1.75,3.7210208179630264,-5.471020817963026
2026-01-01 08:00:00+00:00,48.78,6.9553828628550045,7.018768858785886,-0.06338599593088112,-1.35,4.047687595778667,-5.397687619620525
2026-01-01 09:00:00+00:00,46.05,6.952776444629658,7.007742555579745,-0.05496611095008763,-0.45,4.713627401712497,-5.163627389791568
2026-01-01 10:00:00+00:00,36.58,6.943682111724214,7.000197454009087,-0.05651534228487343,0.75,5.619050863039761,-4.869050863039761
2026-01-01 11:00:00+00:00,23.41,6.930895467673652,6.995961181884368,-0.06506571421071605,2.0,6.565098952452577,-4.565098952452577
2026-01-01 12:00:00+00:00,39.98,6.946956761181274,6.993343794939617,-0.046387033758342966,3.4,7.321707615619653,-3.9217075202522214
2026-01-01 13:00:00+00:00,26.62,6.934027131720967,6.994776342229653,-0.060749210508686424,3.4,7.711626386661823,-4.311626291294392
2026-01-01 14:00:00+00:00,34.15,6.941335112245333,6.99855907281547,-0.05722396057013768,3.75,7.672489346529277,-3.922489346529277
2026-01-01 15:00:00+00:00,55.08,6.961371872419151,7.004068663369193,-0.04269679095004175,3.6,7.269737977993859,-3.669738073361291
2026-01-01 16:00:00+00:00,68.11,6.973646010471072,7.018186605542075,-0.04454059507100361,3.4,6.6577122863963885,-3.257712191028957
2026-01-01 17:00:00+00:00,83.95,6.988367055474525,7.0303498014094,-0.04198274593487561,3.4,6.011100859654956,-2.6111007642875244
2026-01-01 18:00:00+00:00,84.08,6.988486980014458,7.025627231660981,-0.037140251646523126,2.9,5.461025909656849,-2.561025814289417
2026-01-01 19:00:00+00:00,73.96,6.979108030427379,7.012463271273041,-0.03335524084566188,2.8,5.063622997760914,-2.26362304544463
2026-01-01 20:00:00+00:00,69.98,6.975395235692477,7.001544674860759,-0.026149439168282385,2.85,4.808760024676609,-1.9587601200440403
2026-01-01 21:00:00+00:00,60.57,6.9665617784270575,6.9988486599561135,-0.03228688152905601,3.05,4.654638472578923,-1.6046385202626388
2026-01-01 22:00:00+00:00,56.39,6.962612714266852,6.991804692655071,-0.029191978388219297,3.3,4.562788117189047,-1.262788164872763
2026-01-01 23:00:00+00:00,37.49,6.944559613504185,6.985469042507283,-0.04090942900309802,3.3,4.51289677657402,-1.2128968242577356
2026-01-02 00:00:00+00:00,37.55,6.944617443714703,6.97441819510778,-0.029800751393076474,2.75,4.493715252355054,-1.743715252355054
2026-01-02 01:00:00+00:00,37.64,6.944704182760339,6.971696283582253,-0.026992100821914278,2.75,4.483759557407017,-1.7337595574070166
2026-01-02 02:00:00+00:00,27.49,6.9348742139629325,6.966624007223674,-0.03174979326074112,2.4,4.442535491874558,-2.0425353965071267
2026-01-02 03:00:00+00:00,15.09,6.922732557495679,6.9648587040518555,-0.042126146556176636,2.35,4.325179517938503,-1.9751796133059347
2026-01-02 04:00:00+00:00,10.04,6.917745213011485,6.971659369227852,-0.05391415621636675,2.25,4.1158126202086,-1.8658126202086
2026-01-02 05:00:00+00:00,8.19,6.915911922932409,6.9870962586212455,-0.07118433568883642,2.2,3.85892987885379,-1.6589298311700742
2026-01-02 06:00:00+00:00,58.41,6.964523060979846,7.007522138151939,-0.042999077172092726,1.85,3.6645436516060874,-1.8145436277642295
2026-01-02 07:00:00+00:00,83.02,6.987508714051157,7.025993360943777,-0.03848464689261988,2.05,3.6749954026723897,-1.6249954503561055
2026-01-02 08:00:00+00:00,97.5,7.000790144949327,7.019103355793593,-0.018313210844266514,2.0,4.003103714094652,-2.003103714094652
2026-01-02 09:00:00+00:00,98.97,7.002128656487815,7.008076527101361,-0.005947870613545625,2.35,4.670114878076095,-2.320114973443527
2026-01-02 10:00:00+00:00,90.64,6.994519958877874,7.000531065949992,-0.006011107072117383,3.35,5.5762592290362125,-2.226259324403644
2026-01-02 11:00:00+00:00,80.67,6.985336498138485,6.996294591935115,-0.010958093796629598,4.15,6.52295423548194,-2.3729541401145084
2026-01-02 12:00:00+00:00,70.78,6.976142633847562,6.993677080252233,-0.017534446404670945,3.7,7.2804893623439675,-3.5804893146602517
2026-01-02 13:00:00+00:00,68.97,6.974450847020403,6.995109695813898,-0.02065884879349511,2.95,7.6717997259696995,-4.721799678285984
2026-01-02 14:00:00+00:00,74.44,6.979554874597912,6.998892606675216,-0.019337732077304715,2.45,7.634370376159466,-5.18437032847575
2026-01-02 15:00:00+00:00,82.57,6.987093122912967,7.004402459802275,-0.01730933688930847,2.45,7.233175691487305,-4.783175643803589
2026-01-02 16:00:00+00:00,94.46,6.998016369926878,7.018521074801046,-0.02050470487416778,2.0,6.621973595269586,-4.621973595269586
2026-01-02 17:00:00+00:00,101.72,7.004627873943609,7.030684850335932,-0.026056976392323072,1.45,5.975041563541294,-4.525041515857578
2026-01-02 18:00:00+00:00,102.8,7.005607679149642,7.025962055521625,-0.020354376371983562,0.8,5.423476257126186,-4.623476245205257
2026-01-02 19:00:00+00:00,100.42,7.003447204094267,7.0127974677721845,-0.009350263677917248,-0.1,5.0237985320932435,-5.12379853358336
2026-01-02 20:00:00+00:00,90.75,6.994620812003719,7.001878351006847,-0.0072575390031284215,-0.6,4.766493936741949,-5.366493960583807
2026-01-02 21:00:00+00:00,90.36,6.99426319592369,6.999182207616859,-0.004919011693169217,-1.25,4.6103293352367105,-5.8603293352367105
2026-01-02 22:00:00+00:00,87.27,6.991425246341902,6.992137904617914,-0.0007126582760124123,-1.65,4.517111342545362,-6.167111318703504
2026-01-02 23:00:00+00:00,84.34,6.988726785957261,6.985801952528851,0.0029248334284099897,-1.8,4.466451792785179,-6.266451745101463
2026-01-03 00:00:00+00:00,80.9,6.985549306422158,6.979646408533702,0.0059028978884558825,-1.55,4.446803804874129,-5.996803757190413
2026-01-03 01:00:00+00:00,79.3,6.9840679618313,6.976055353901446,0.00801260792985481,-1.95,4.436402515993294,-6.386402563677009
2026-01-03 02:00:00+00:00,77.77,6.982649370634371,6.970546484029191,0.012102886605179997,-1.95,4.394689384867002,-6.344689432550718
2026-01-03 03:00:00+00:00,74.44,6.979554874597912,6.967712340058156,0.011842534539755256,-1.85,4.2769961516970785,-6.126996175538936
