,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis,delta_std,delta_q01,delta_q99
observed_XtQ,2.0572109772092464e-15,1.2990781776473985,-4.012609701098618,-2.1685191257685963,0.0644915268047858,1.9334536255165373,2.5815934569975574,-0.9331075020129783,3.0677008094235774,0.32134661708054174,-0.9188663698129765,0.8327049650727336
gaussian_XtQ,-0.01277115438120705,1.2958889758864518,-3.0291717371060587,-2.1445296376888106,-0.01242773717108936,2.1158585747745198,3.0038657814052003,-0.001239456658659009,0.005220171126234074,0.32334819265293663,-0.7526297168084402,0.7520581692462164
nig_XtQ,-0.008209566015310824,1.2091026219992749,-2.985645245335026,-2.001333621867445,0.0038639183211043315,1.9483765896348153,2.861051523103413,-0.06582393608883817,0.5048131069222674,0.3018457434401854,-0.9319757992351199,0.8720359004695216
observed_wind,-1.6887328559338008,1.380457376962783,-5.804822876143481,-3.999219550458301,-1.5464471678152878,0.449414428239956,1.195907780453089,-0.8474051725842828,2.9018087519607887,0.3251101432381751,-0.9534036161716758,0.855062460339954
gaussian_wind,-1.7015040103150096,1.3780101396563087,-4.893265021283891,-3.9639379220668314,-1.703984114018368,0.5681217829615934,1.5151035038925513,0.008807230764244951,-0.002686490701027111,0.32842267204054504,-0.7666514959623855,0.7627773806044712
nig_wind,-1.6969424219491134,1.2960910585073782,-4.82985011983354,-3.8265913168615286,-1.6910744534881852,0.412953392078062,1.3767034662717785,-0.03711069638648877,0.3771263105381375,0.3073257617184612,-0.9384324862611654,0.8775517146096907
