model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
Gaussian CARMA,XtQ_std,1.2990781776473985,1.291740222269178,0.03393088388332365,1.2253341568885296,1.2902164654630641,1.360562277524147,0.592,0.8160000000000001,True,250
Gaussian CARMA,XtQ_skew,-0.9331075020129783,-0.001058627611299827,0.06524768122135578,-0.1394049403623601,0.007090316849240129,0.11769731779891104,0.0,0.0,False,250
Gaussian CARMA,XtQ_excess_kurtosis,3.0677008094235774,-0.0029479664012542132,0.1092285881331126,-0.16769145138093583,-0.012289646212366945,0.2615367783481373,1.0,0.0,False,250
Gaussian CARMA,XtQ_q01,-4.012609701098618,-3.0140238566597537,0.14951453384060626,-3.3160812074747277,-3.007367107984809,-2.732320784061778,0.0,0.0,False,250
Gaussian CARMA,XtQ_q05,-2.1685191257685963,-2.138261981950632,0.11700947323670273,-2.3860637360039934,-2.137148418238052,-1.912648863509406,0.36,0.72,True,250
Gaussian CARMA,XtQ_q95,1.9334536255165373,2.1097125070525453,0.11742730054453715,1.886091976017017,2.1091126821559527,2.337584083263238,0.06,0.12,True,250
Gaussian CARMA,XtQ_q99,2.5815934569975574,2.991401264328457,0.14888455770665823,2.7083118149202488,2.9940641584191594,3.29205045874449,0.004,0.008,False,250
Gaussian CARMA,Delta_XtQ_std,0.32134661708054174,0.3231816612639953,0.001528042038602152,0.3202220186114764,0.32312606845829245,0.3262851197706898,0.1,0.2,True,250
Gaussian CARMA,Delta_XtQ_excess_kurtosis,38.33489974052137,0.002079843753029378,0.02774843430076268,-0.049572981433751294,0.0033969263931890037,0.059586663296611754,1.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q01,-0.9188663698129765,-0.7521796329497454,0.007539340458809862,-0.7675569518580824,-0.7519735528025736,-0.7372527409145742,0.0,0.0,False,250
Gaussian CARMA,Delta_XtQ_q99,0.8327049650727336,0.7516894742805263,0.00746296395704688,0.7373934306327947,0.7519058086924422,0.7661847282158566,1.0,0.0,False,250
Gaussian CARMA,ACF_XtQ_1h,0.9693547311003439,0.9686037924790567,0.0016144146377603395,0.9652731063479189,0.9685240916381082,0.9716718458061212,0.656,0.688,True,250
Gaussian CARMA,ACF_XtQ_6h,0.7715631460295429,0.7792378777314888,0.01111132109659625,0.7579805578564752,0.7787406718692571,0.800163327639127,0.224,0.448,True,250
