series,model,mean,std,loglik,AIC,BIC,alpha,beta,delta,mu
price_idiosyncratic_driver,Gaussian,2.517938345713242e-07,0.012720891206900599,68051.52974440646,-136099.05948881293,-136082.9640532965,,,,
price_idiosyncratic_driver,NIG,2.447904086442902e-07,0.011612811844221603,74016.54943488688,-148025.09886977376,-147992.90799874093,52.04272508655579,-6.557844059832213,0.006851853459845007,0.0008705762916548427
