series,n,mean,std,skew,excess_kurtosis,q01,q05,median,q95,q99
solar_driver,23103.0,-0.0068776784056913615,2.8413435147044965,-0.9055046683422453,10.048844372238372,-8.692179753414178,-4.433786634592809,0.08157322820960644,4.18578133972083,7.760261745487853
price_marginal_driver,23103.0,3.065983303647321e-07,0.012721169055064456,0.03963379611178771,104.56862821022791,-0.03360064779666937,-0.01747398828473038,0.0004562032517265724,0.014993787681142496,0.033241959763272384
price_idiosyncratic_driver,23103.0,2.517938345713242e-07,0.012721166524049542,0.039249457386453995,104.57572115549137,-0.03363267902868723,-0.01747247695708266,0.0004576022955407653,0.015002382250660733,0.03323039081001968
