model,metric,observed,sim_mean,sim_sd,sim_q025,sim_q50,sim_q975,obs_percentile,two_sided_p,inside_95,n_paths
Gaussian CARMA,Y_std,0.0354519205316657,0.03417885356713445,0.0010194672920601766,0.032415321088321,0.034141054477799054,0.03648124679699202,0.92,0.15999999999999992,True,250
Gaussian CARMA,Y_skew,0.46319199577380676,0.0018388774405854696,0.055373064739931185,-0.09627665473492675,0.0036275307593631777,0.11172632572633251,1.0,0.0,False,250
Gaussian CARMA,Y_excess_kurtosis,17.86804717730555,-0.012777541556910263,0.0863152282057523,-0.16810009084969169,-0.019685908730119772,0.1888200162862477,1.0,0.0,False,250
Gaussian CARMA,Y_q01,-0.08252914278478658,-0.0787705662985107,0.005669779297835915,-0.08998880277671836,-0.07896209442138469,-0.06824989878374782,0.264,0.528,True,250
Gaussian CARMA,Y_q05,-0.05970823443518606,-0.05559656070334964,0.005183696399458231,-0.06519056128598774,-0.05584815284260862,-0.04527369953290696,0.216,0.432,True,250
Gaussian CARMA,Y_q95,0.047259245773256124,0.056873710506346056,0.005312990519290253,0.047739085236248084,0.056328613012776085,0.06672638409614237,0.02,0.04,False,250
Gaussian CARMA,Y_q99,0.07915108970986932,0.08012123363709958,0.005764817976664046,0.07025451570727863,0.07998539827867641,0.09140977605829756,0.456,0.912,True,250
Gaussian CARMA,DeltaY_std,0.012952240731388454,0.012994529472874166,5.947749981634155e-05,0.012891286826257207,0.012989898736909564,0.013102727549343409,0.256,0.512,True,250
Gaussian CARMA,DeltaY_excess_kurtosis,80.5621903737484,-0.0017657078961653685,0.03203360530879071,-0.07181864755840635,0.00012001323849331058,0.054988669943531264,1.0,0.0,False,250
Gaussian CARMA,DeltaY_q01,-0.0346626982283171,-0.03020104524012639,0.00028647029942217703,-0.030691783215458814,-0.030171252100047216,-0.029656297023702448,0.0,0.0,False,250
Gaussian CARMA,DeltaY_q99,0.03622558105681764,0.030215637332690337,0.00030684124065773053,0.02965223273193206,0.030210044790152955,0.030835617771711326,1.0,0.0,False,250
Gaussian CARMA,ACF_Y_1h,0.9331894707009794,0.9275016536393056,0.004233239764012935,0.9198045316526346,0.9273685870554688,0.9360377855326791,0.92,0.15999999999999992,True,250
