source_row,restart,start_kind,success,loglik,objective,acf_mse_csv,acf_mse_recomputed,ar_fast_hl_h,ar_mid_hl_h,ar_slow_hl_h,ar_complex_hl_h,ar_complex_period_h,ma_real_1_hl_h,ma_real_2_hl_h,ma_complex_hl_h,ma_complex_period_h,n_bound_flags,bound_flags
14,15,semi_global,True,78807.73943663531,-8.829721919983594,0.0027890723403361,0.0027890723403361318,0.508098432749366,1.2067289753147608,34.53463542679539,125.13977796539668,24.0,0.07315398125469977,4.791899077861364,45.20449305438592,24.07612036704523,0,none
3,4,semi_global,True,78808.19708751034,-8.829756715716346,0.0030615877005277,0.003061587700527766,0.510479787968477,1.1577799211428892,32.585082586888994,125.13977796539668,24.0,0.06502005159979991,4.532984137935376,44.88490665636899,24.089712634833678,0,none
6,7,semi_global,True,78807.59565139502,-8.829710987823148,0.0032904963409875,0.0032904963409875845,0.7148311440644107,0.8501308858081593,31.103999774117266,125.13977796539668,24.0,0.1049281015815645,4.13867024216324,43.14811825937571,24.089983143418518,0,none
8,9,semi_global,True,78808.06611589831,-8.829746757791085,0.003070420510665,0.003070420510665056,0.4917887883778964,1.1874692606569168,32.58747569279904,125.13977796539668,24.0,0.052942773460613164,4.58125920038252,44.82359742520538,24.08761588221296,1,MA real 1 HL near lower 0.05h
17,18,semi_global,True,78808.02540350423,-8.829743662380013,0.0031128967314554,0.0031128967314552483,0.49201302314412393,1.1734444346942239,32.27403023850914,125.13977796539668,24.0,0.050231941419875095,4.504978151805737,44.664908539292206,24.097620070610766,1,MA real 1 HL near lower 0.05h
