,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis
observed_Y,-4.644103827270013e-07,0.0354519205316657,-0.08252914278478658,-0.05970823443518606,0.0034200373507449,0.047259245773256124,0.07915108970986932,0.46321841047146717,17.871672091834682
gaussian_CARMA_Y,0.0006099367420091519,0.03454279571064465,-0.07970193674895192,-0.056165287664256366,0.000589524543860645,0.057502426699791054,0.08108123061646659,0.0032602575027043572,-0.0015924361762924555
nig_CARMA_Y,0.00041548862584373756,0.031799391904908235,-0.07842859782751616,-0.052255236753850826,0.0009061543196074058,0.051465567466704144,0.07475650593395174,-0.11082093348384814,0.5197961967679467
observed_DeltaY,2.4327943582177462e-06,0.012952240731388454,-0.0346626982283171,-0.017080082099304002,0.00028654118992360047,0.015394319979015877,0.03622558105681764,0.3503202700782537,80.57773428344358
gaussian_CARMA_DeltaY,9.767174763232754e-08,0.012994665189272224,-0.030204646098388598,-0.021372867159581598,-6.406502545568127e-06,0.021381937783308567,0.03022676058858181,0.0018951539645270749,-0.0015095993024480947
nig_CARMA_DeltaY,9.11737802257839e-08,0.011900931490015056,-0.03662610876801362,-0.01828189026898008,0.00032962716226418373,0.01712797822694877,0.03230505030546479,-0.4997683149007508,8.469971368501492
recovered_DeltaL,1.890646153961417e-06,0.013235633242476622,-0.035106506751856385,-0.0178220742750418,0.0004047696840860514,0.01538337571885585,0.035175401912196855,0.33382064126473526,84.86878901886975
nig_simulated_DeltaL,6.284917300404367e-06,0.012132765702365886,-0.03810809553830676,-0.018677266001508746,0.00039860858011767764,0.0173388809278597,0.033490423763341465,-0.549915452103598,9.578827704955977
