target_time,origin_time,horizon_h,observed_resid,forecast_resid,resid_error,resid_forecast_sd,observed_log_price,forecast_log_price,log_price_error,observed_price,forecast_price,price_error,forecast_price_lo95,forecast_price_hi95
2025-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,24,-0.0427199997117346,0.014599191326798454,0.05731919103853306,0.020013391872245632,6.926498521799273,6.983817712837806,0.05731919103853311,18.92,79.0299400538454,60.10994005384539,37.523045894180996,122.19734890723066
2025-01-01 01:00:00+00:00,2024-12-31 01:00:00+00:00,24,-0.0424824015339027,0.01484962858456194,0.05733203011846465,0.020013391872245632,6.924278023534799,6.981610053653264,0.05733203011846477,16.66,76.65043722835026,59.99043722835026,35.23507507189015,119.72265227151502
2025-01-01 02:00:00+00:00,2024-12-31 02:00:00+00:00,24,-0.0424225960372561,0.0151575142811947,0.0575801103184508,0.020013391872245632,6.920770216059632,6.978350326378083,0.057580110318451005,13.1,73.1465643698707,60.0465643698707,31.865985201803596,116.07860432925168
2025-01-01 03:00:00+00:00,2024-12-31 03:00:00+00:00,24,-0.0489697774468638,0.014411473796696578,0.06338125124356038,0.020013391872245632,6.9136379421402925,6.977019193383853,0.06338125124356075,5.9,71.71901391094411,65.81901391094411,30.493348127210993,114.59394363451793
2025-01-01 04:00:00+00:00,2024-12-31 04:00:00+00:00,24,-0.0518668159799586,0.01241340875973972,0.06428022473969831,0.020013391872245632,6.916982576232268,6.981262800971966,0.06428022473969808,9.27,76.27663238332593,67.00663238332594,34.87564932568671,119.33389308094593
2025-01-01 05:00:00+00:00,2024-12-31 05:00:00+00:00,24,-0.0626545021030322,0.011441344299074386,0.07409584640210658,0.020013391872245632,6.917745213011485,6.991841059413591,0.07409584640210642,10.04,87.72219508625403,77.68219508625404,45.880937164986335,131.23734417641458
2025-01-01 06:00:00+00:00,2024-12-31 06:00:00+00:00,24,-0.080030584709462,0.006883390088295232,0.08691397479775724,0.020013391872245632,6.91495926783064,7.001873242628397,0.0869139747977572,7.23,98.68934367419843,91.45934367419842,56.4262139783159,142.6432418383913
2025-01-01 07:00:00+00:00,2024-12-31 07:00:00+00:00,24,-0.0862695327414595,0.0032669040233165338,0.08953643676477603,0.020013391872245632,6.920503671804304,7.01004010856908,0.08953643676477618,12.83,107.69893222888254,94.86893222888254,65.08923194706904,152.01326579741772
2025-01-01 08:00:00+00:00,2024-12-31 08:00:00+00:00,24,-0.0821641967621067,0.0012060762343672445,0.08337027299647395,0.020013391872245632,6.921421469745952,7.004791742742426,0.08337027299647382,13.76,101.90055232607483,88.14055232607483,59.51389751500301,145.9829173211158
2025-01-01 09:00:00+00:00,2024-12-31 09:00:00+00:00,24,-0.0718389777569887,0.0022841192809976325,0.07412309703798634,0.020013391872245632,6.925546079990686,6.9996691770286725,0.0741230970379867,17.95,96.27042699178514,78.32042699178514,54.10034542644189,140.12755456460127
