kind,half_life_h,half_life_d,period_h,share
osc,48.000000000002096,2.0000000000000875,24.0,0.027984681459809712
real,1.2915792724025448,0.0538158030167727,inf,0.12368193074695419
real,26.337577728306314,1.097399072012763,inf,0.8483333877932362
