,mean,std,rmse,q01,q05,median,q95,q99,acf_1h,acf_6h,acf_24h
train_2024,0.002182567945905596,0.9999976181957444,1.0,-2.760956625383169,-1.6404057676438468,0.03064795289350281,1.580255818506897,2.7238524205648176,0.15169368327981841,-0.03660019335745353,0.09467125847047039
test_2025,0.019796492793972945,1.4266813920251378,1.4268187325227148,-3.5865632228406423,-2.2009581394907185,0.028286679173386967,2.252501446919558,4.351117898750244,0.13357753015371576,-0.05314854329574782,0.2978384878680765
