,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis
recovered_DeltaL_2024,6.91228602708708e-07,0.00959899458312841,-0.02652644623093436,-0.015759696235281576,0.00027615634891804686,0.015144370462721326,0.026123696271613834,0.05158470446323119,3.177708426561245
gaussian_fit_DeltaL,6.91228602708708e-07,0.00959899458312841,-0.02232990941278761,-0.015788249826543595,6.91228602708708e-07,0.01578963228374901,0.022331291869993032,0.0,0.0
nig_fit_DeltaL,6.908964930071307e-07,0.009682293901226114,-0.028020457835761504,-0.015524969490837173,0.00020875184195056907,0.014814432335853927,0.025868643321934028,-0.2492849596145544,4.413929033001109
