,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis
observed_2024_Y,3.577562249684074e-15,0.02374614012191614,-0.05801908837570567,-0.04129602481519745,0.0009032588218235999,0.03751675516862639,0.05322750483052951,-0.10853493904592124,0.5433236639117855
gaussian_CARMA_2024_Y,9.505885368876068e-05,0.02278085994719663,-0.053029392245966055,-0.0375137354934582,0.00014157103322728817,0.03744517459533659,0.05300738866445261,-0.006195000839813471,0.00014731867248229946
nig_CARMA_2024_Y,-0.00012187728381120857,0.022868268281845603,-0.05521487457820496,-0.03797663671301733,9.94085928506059e-05,0.036984884819514896,0.05312623657135688,-0.057672242522525924,0.19835749635947142
observed_2024_DeltaY,-9.07020125170971e-07,0.008671156952802045,-0.024673549461048196,-0.013816220067670571,0.00023108358803279952,0.013806736706214793,0.024631225761689707,0.02908752201313755,3.415008365583015
gaussian_CARMA_2024_DeltaY,-1.6744227902418917e-07,0.008793496477311369,-0.020479501409905954,-0.014459069196658915,2.4385848699914198e-06,0.014459932712547113,0.020455430524908468,-0.0026729303922686395,8.601668273700014e-05
nig_CARMA_2024_DeltaY,-1.2028569411054465e-07,0.00878730845544988,-0.025045434345580868,-0.014089489822230737,0.00016112165459046144,0.013500488652890861,0.02314156283199412,-0.22313106569674865,3.800790333308927
recovered_2024_DeltaL,6.91228602708708e-07,0.00959899458312841,-0.02652644623093436,-0.015759696235281576,0.00027615634891804686,0.015144370462721326,0.026123696271613834,0.05158470446323119,3.177708426561245
nig_simulated_2024_DeltaL,-6.500217776237339e-06,0.009673722609871432,-0.028078803768479495,-0.015540728840824422,0.00020507778318840775,0.014798711007886609,0.025810212893626495,-0.2485072059179775,4.303674265615923
