,n,mean_observed,mean_forecast,bias,mae,rmse,error_std,corr,q05_error,q50_error,q95_error
residual_Y,8760.0,0.003077616012635479,0.0013485855780787856,-0.0017290304345566943,0.02039155844662243,0.02590088425450866,0.025843108538289878,0.7647609290537861,-0.04269179563380753,-0.0015188307824190181,0.04046370262456712
log_price,8760.0,6.96649250258296,6.9647634721484035,-0.0017290304345566846,0.02039155844662246,0.025900884254508684,0.02584310853828991,0.8101189899971037,-0.04269179563380798,-0.0015188307824192115,0.040463702624566715
raw_price,8760.0,61.51821689497718,59.22118895221239,-2.29702794276478,21.78510339620946,27.903157301609358,27.80844925608966,0.808181200339833,-46.69473841069176,-1.5736590161530195,42.37581342193493
