lag_h,observed_2024,gaussian_CARMA,nig_CARMA
0,1.0,1.0,1.0
1,0.9325812214290257,0.9242968180182538,0.9250909893868378
2,0.8632690349913349,0.8688507610079705,0.8701726874451772
3,0.8101726422082168,0.825048595667904,0.8268829071216214
4,0.7684612950551895,0.7880658509559683,0.7901734655527007
5,0.7339830472932791,0.7552714236949024,0.75743001118543
6,0.7082114891770992,0.725280322551958,0.727386231681538
7,0.6881768901190827,0.697515590085005,0.6997045576037628
8,0.6694275676029778,0.671754365699983,0.6738037173104233
9,0.6524276564178926,0.6481805982344897,0.650089891338293
10,0.6367137633921116,0.6265911095210689,0.6284175987674723
11,0.6226605271030036,0.6070308901692621,0.6089537967106856
12,0.6087777725489422,0.5896893073647181,0.5916250681697727
13,0.5941945436970992,0.5744327483903344,0.5764230893831541
14,0.578372270765137,0.5610524175183229,0.5631529844936802
15,0.5613061175512585,0.5493921561455333,0.5515180552566594
16,0.5465756397745581,0.5392691281556578,0.5411808280382376
17,0.5340544492930716,0.5301926875207287,0.5319607860815305
18,0.523044199085697,0.5215998647344413,0.5233959049742168
19,0.5151012051959843,0.5131055998182663,0.5149813509252215
20,0.5093566738719172,0.5044851927523478,0.5064373595875548
21,0.505579047519439,0.49541141901151564,0.4975698495062941
22,0.5050509721711562,0.4855047707411608,0.4878416523417158
23,0.5055034239753389,0.47470220662897056,0.47717019476879363
24,0.4990695726841728,0.4627866638988847,0.4653477778168599
25,0.4801660126591775,0.4498606408962285,0.45249516512584814
26,0.4546194489330351,0.4361033070520132,0.4387913536482858
27,0.43017297301683854,0.4213602897077336,0.4242351272092591
28,0.4068910686529985,0.4062246551968013,0.4091470195952628
29,0.38750598951008725,0.3907185215528983,0.39397981502401547
30,0.37245808644598044,0.3755072812718067,0.3788750302825998
31,0.36297821820971504,0.3607518855143834,0.36417022172642305
32,0.3539284111257624,0.3468107436552447,0.3501562256425263
33,0.3453634588239185,0.33374936180712994,0.33706907638752825
34,0.33606424756831205,0.32182339109125474,0.32514638785004274
35,0.3267423576004029,0.3112491006968867,0.3146514231788548
36,0.3211245750361187,0.30206550808730187,0.3055844062281373
37,0.3154492069569613,0.2942556731158595,0.29764322392937853
38,0.30716663334281413,0.2877902705866189,0.29097386551219556
39,0.29816545247654475,0.28264472129805174,0.2855355461440699
40,0.28915920733707856,0.27831532178778795,0.2808549868708699
41,0.2808087473003542,0.2745948316590122,0.2768828774730171
42,0.27502487709931983,0.27105895170155897,0.2732841818336569
43,0.27174259911175724,0.2676631659114251,0.26967491442929875
44,0.2718311132019081,0.26412405364882285,0.2657891165692595
45,0.2722395574972811,0.26009371525378516,0.26160909637362256
46,0.2720057607358318,0.25558707380384993,0.2569484993778651
47,0.2680602943688052,0.25031648553779884,0.251519818177554
48,0.2617595407440729,0.24406297475934344,0.24531639379561646
49,0.2526484898424279,0.2369570569474507,0.23822627823200404
50,0.24617201887831275,0.22913854720972368,0.230292539832614
51,0.24003731595605968,0.22068823117898953,0.2216786756899233
52,0.2324651727557227,0.21177990816057088,0.21286903928510478
53,0.2257870113766115,0.20276099510180015,0.2038912484610184
54,0.22183472286958597,0.19371844631456409,0.19492196792888594
55,0.21981198178268763,0.1847957479367923,0.1861900865454771
56,0.21772174083308155,0.1763793869476045,0.17805608066524084
57,0.21375083623071295,0.1686702780122165,0.17034664400685712
58,0.210243646745061,0.16184549154880018,0.16349775254601964
59,0.20613660962179875,0.15594977129004942,0.15752694645251814
60,0.20019748462460227,0.1511915666246447,0.15265443872485207
61,0.19522873243541455,0.14733311495022558,0.1487465813833341
62,0.18994354000664312,0.14431420544647824,0.14542194116116072
63,0.1872415178674534,0.14203548767553054,0.14288572153047455
64,0.1856455579751,0.14032410928109587,0.1409784677209152
65,0.18313517303480603,0.13898512565157528,0.1393573680408652
66,0.17974886281695668,0.13794369501878834,0.13797465618540689
67,0.17612810341376928,0.13696425072442653,0.13657138299813182
68,0.17376432918203955,0.13583997788487673,0.1351145996725503
69,0.16869080715251675,0.1344338991471649,0.13331476888156235
70,0.16401345107643503,0.13245005346765973,0.13098602412417532
71,0.15897172052728653,0.12969771710128888,0.1281707862021853
72,0.15388281581686172,0.12638498542031598,0.12510728156205614
73,0.14759960431937472,0.12248615246618111,0.12142506479993573
74,0.13998419238485182,0.11804175485202628,0.11713519510124629
75,0.1334457169998877,0.11320015084313154,0.11246325447957832
76,0.12730765143997347,0.10810177870981856,0.10738503217531564
77,0.12259386699785581,0.10296383940734159,0.10215104400425232
78,0.12031861478734258,0.09781950733407235,0.09683119674265742
79,0.11632195348844665,0.0927489041780695,0.09181586870115767
80,0.1139406701019297,0.08789277357244107,0.08693178573490079
81,0.11140448639294413,0.08350497442428807,0.08257105922111921
82,0.10665021118570334,0.07981969634703949,0.07882077281765217
83,0.10179914312807149,0.07658594855426036,0.0757616772791838
84,0.09725945342554371,0.07403429966042675,0.07324143921386786
85,0.09222917802201691,0.07218015529504475,0.07141274186669284
86,0.08720967084112212,0.07085665763206862,0.07015010257756132
87,0.08013045481723964,0.06996783078896537,0.06947310223136666
88,0.07339171418144168,0.06946286290226805,0.06906801131291165
89,0.06719072093687506,0.06911864105334418,0.06886359664976523
90,0.06272192987583164,0.06904331334479885,0.06881152547734506
91,0.058753066436896456,0.06885281580587023,0.06881011786501963
92,0.05455337193573908,0.06857615537150771,0.06865355148383283
93,0.0508361976681193,0.06813687798318678,0.06830302172805633
94,0.04687904427502067,0.06737795479258608,0.06780807881434193
95,0.04291855639784143,0.0660817134203579,0.06685358470533795
96,0.0375144153755182,0.06455193791656375,0.06539681568406966
97,0.03069350919887757,0.06250363291274251,0.06352736353787765
98,0.024251271215071916,0.06007858951861255,0.0611974298818378
99,0.019525610002109724,0.05728049636527251,0.058444761679865016
100,0.01690112692793171,0.05417383421236581,0.055627006728102134
101,0.013428659595401978,0.050824089028809145,0.05274431206126169
102,0.009947774384426912,0.0475190617685122,0.049651364691247736
103,0.004900184706581329,0.0444768512292944,0.046765961084923306
104,-7.898071352850784e-05,0.04173724416749792,0.04392759883381483
105,-0.002696077207449603,0.03922193987380471,0.04139586097405438
106,-0.004456350154168576,0.03705218476269192,0.03933526062929758
107,-0.007083728705008015,0.03528310658251526,0.03774333191552984
108,-0.009767666266083217,0.03403736092810654,0.03658948355389416
109,-0.013217584264363005,0.03322420023474571,0.03569307332299572
110,-0.01804064652349576,0.0327127592767554,0.03519138162889369
111,-0.02116095352044128,0.03253244601670268,0.035014950124451126
112,-0.024936367819808875,0.032630747770396144,0.03509483636784767
113,-0.027854605254477277,0.03292162240623571,0.03518335218476371
114,-0.028239018711341515,0.033224976898715224,0.035403132782577264
115,-0.028884499336992376,0.03349308239993625,0.03567105174546774
116,-0.031225536934649436,0.03360680738573763,0.035818103147210116
117,-0.03203525884338907,0.03358584602645138,0.03581995251397336
118,-0.031062199643439446,0.033196842396247886,0.03559639879644101
119,-0.030954380752316293,0.03246746637353295,0.03516997842771191
120,-0.03409622426035907,0.03140573439263568,0.03440698925892509
121,-0.03735016634126025,0.030124881720169902,0.03342253803970237
122,-0.03898092567861799,0.028470414356099295,0.03211914324112554
123,-0.040073784023484056,0.026787607256019714,0.03058314565883271
124,-0.04163991698257473,0.025100205107223016,0.028814454749165594
125,-0.044527698364251196,0.02319342739742302,0.027031917378845072
126,-0.04790311575626944,0.021168758662790447,0.02521918219371072
127,-0.05094334490032366,0.019208526120563778,0.023275674472554225
128,-0.05167426352528525,0.017449292014543816,0.021461762029200464
129,-0.05192111912301454,0.015867159227111356,0.019889728375894943
130,-0.053469743798895436,0.014598204868613759,0.018586779086752492
131,-0.05298112808299627,0.013636223422793338,0.01761210294031561
132,-0.05424651273275396,0.012861914671897892,0.01701020587999722
133,-0.0568923576286945,0.012562612136950653,0.016615875586140163
134,-0.059597210529334255,0.012359791482085858,0.016544945038710478
135,-0.06061243543409437,0.012273412937215086,0.016667724999068524
136,-0.059740149635840116,0.012377039025272327,0.017016274519505336
137,-0.05808152659774762,0.012507723345767125,0.017309501135801614
138,-0.057205312012289365,0.012567686933143155,0.01767602374801284
139,-0.055090808924585205,0.012776892770887319,0.017982227324839478
140,-0.052870360483665495,0.012868534307560324,0.018207738584500352
141,-0.051204581985244496,0.012788521831712094,0.018364063204373848
142,-0.05020117680840566,0.012556818920638452,0.018167210498996476
143,-0.05028209472667941,0.012267615374198208,0.017828051764067165
144,-0.053894186490057894,0.011657021992207459,0.017394967812786776
145,-0.05595339322368403,0.010922487057748233,0.0168255988446103
146,-0.057823437315121,0.010051562915251774,0.01606307030386836
147,-0.059039605674122454,0.00892116430108921,0.01512890184674808
148,-0.05915562428813816,0.007565343251848361,0.014093652760796119
149,-0.058598821001814815,0.006195276469115349,0.01302515671156514
150,-0.05985105871437322,0.0048572092592596375,0.01190308686809822
151,-0.06089821656657291,0.003485021390053339,0.010855099747417636
152,-0.06175164425334123,0.0022605317624875914,0.00984716283904396
153,-0.06201058010427135,0.001149231221928409,0.008981039532715708
154,-0.06037860901334388,0.0002969009439914864,0.008388224717734719
155,-0.05863391367036163,-0.0002954059632452967,0.007832096059615174
156,-0.05802441391766861,-0.0007896993700013692,0.00746050087918393
157,-0.05968841997311029,-0.0011207134950981673,0.007209430808123475
158,-0.05956940996583896,-0.0010714181843923258,0.007171796218226841
159,-0.057377713400632704,-0.0008297249766291434,0.007269139029557304
160,-0.055365398097762884,-0.0006357832907835488,0.007532256833755666
161,-0.055681407270055605,-0.00027955645815123237,0.007940324853427255
162,-0.05441437955163826,4.4450466760316275e-06,0.008450351322836076
163,-0.05352207214780599,0.000308372188230727,0.008920467437284743
164,-0.052309263252137264,0.0006318381459021539,0.009405161107878616
165,-0.049233089649605204,0.0005958312260280617,0.00964732874684978
166,-0.04681722262322369,0.0006535324609486833,0.009691968488434514
167,-0.04855429886383046,0.000643774461263876,0.009816788642342074
168,-0.054191672589323794,0.00031130750250397314,0.010013480306127661
169,-0.058088995702916306,-0.000300188469995777,0.009687368591600022
170,-0.06222178615834949,-0.000901639037727193,0.00930772040075075
171,-0.06606363484579342,-0.0015437361359118406,0.00879984705338503
172,-0.06741298061231243,-0.0021837539501083007,0.00803669971284141
173,-0.06804351686559801,-0.002881046941765514,0.007321930989788212
174,-0.06854818845811965,-0.0037027385065332087,0.006583420759199175
175,-0.06817357096748042,-0.004600985388651969,0.00570029229836313
176,-0.06797004443666325,-0.005380674657762692,0.004881562180953763
177,-0.06932435933460793,-0.00588433556785812,0.004447294351228041
178,-0.07193040681122667,-0.0062957583973627645,0.004055714919719247
179,-0.073282736876134,-0.006581976936808639,0.0037219401297395502
180,-0.07543323134896976,-0.006716999681775536,0.0033901773085976963
181,-0.07866503477966583,-0.0067926674775665614,0.0033906729476185643
182,-0.07997177209566085,-0.006745758146614516,0.003502813926657881
183,-0.07914830128929956,-0.006640613859224426,0.0036604291080499663
184,-0.07921309686800812,-0.006413371049257915,0.003875664008615245
185,-0.08031499079605464,-0.006095071614143686,0.00423919964771285
186,-0.08071658437671773,-0.005742876982183697,0.004548867770739143
187,-0.0808711762646932,-0.005331645708905616,0.004945821564631313
188,-0.08145708163415591,-0.0049958928634388725,0.005280345370562455
189,-0.08364241410555873,-0.004789234454090897,0.005479190469038681
190,-0.08909637121015017,-0.004755701138338329,0.005537714312830341
191,-0.09255377779736089,-0.004779436702112169,0.005456973447541843
192,-0.09622209994113334,-0.004852232887795847,0.0052409423980908434
193,-0.09604252204375696,-0.005006183290097403,0.005013545501376462
194,-0.09106688083860298,-0.005407139861400359,0.004622541632713765
195,-0.08884351030263787,-0.006019937618797395,0.004101303926682795
196,-0.08584830922250457,-0.006665826618011804,0.0035345405783715135
197,-0.08262348168581987,-0.0072722673584321475,0.0029080372782968036
198,-0.0801749958107068,-0.007851557707734762,0.002125750055134315
199,-0.07881950189243973,-0.008359924009236833,0.0014567698227310264
200,-0.07523215534480596,-0.008693259610878629,0.0008514632345411844
201,-0.07499954878956305,-0.009042692569931373,0.00020925962935879668
202,-0.07590423446540046,-0.009315626404516646,-0.00011966317381567698
203,-0.07838012681858891,-0.009398902294678345,-0.00042104244810671926
204,-0.08044312641388651,-0.0093822743195181,-0.0005548236032558882
205,-0.08303333610193185,-0.009403643072211414,-0.0005611632694210463
206,-0.08282976622954122,-0.00912076366920316,-0.0006078188084299366
207,-0.08293965462957716,-0.00885522267626296,-0.0005940786047505482
208,-0.08517150552141181,-0.008608755763877405,-0.000482440005530528
209,-0.08901151252042536,-0.008342131753775232,-0.00015950536658683936
210,-0.09263045486609707,-0.007953470682330559,0.00024626132424551087
211,-0.0928673429316783,-0.007568517623786638,0.0006743829120036531
212,-0.09652787279830857,-0.007476212500165311,0.001087084287215089
213,-0.10060061918720271,-0.007370009179053055,0.0013781680690150221
214,-0.10276693922355927,-0.007276354025012428,0.0015622481411590261
215,-0.1050655807412249,-0.007169157819971071,0.0016989056268186908
216,-0.1087508490197747,-0.007166522595667199,0.0017887294085052517
217,-0.10833947199326546,-0.007209647095189361,0.0016664338968244744
218,-0.10498926979250853,-0.007315542430918572,0.0016659057720118172
219,-0.1016342733646363,-0.007687965742244011,0.00136391634498751
220,-0.09899707329517216,-0.008092410780016603,0.0011043733509420515
221,-0.09584287264594327,-0.008409871515273759,0.0007302251424670463
222,-0.0933867152106156,-0.008786367459204266,0.0002606348525478521
223,-0.09368829691743441,-0.009056987014959989,-0.0002155894040665872
224,-0.09303103162358489,-0.009144648471702828,-0.000714899248922694
225,-0.09342195928787815,-0.00920932481331095,-0.001106063066171799
226,-0.09497865013685713,-0.009171322489488362,-0.0012273796022802433
227,-0.09673792194239313,-0.009276333179852757,-0.0013725533413832887
228,-0.09842946085420387,-0.009379540833247142,-0.0013093451127650828
229,-0.10002579395472878,-0.009238402810914854,-0.0012650199407236778
230,-0.10209164483132066,-0.009106340390149759,-0.0010895819696768827
231,-0.1043210648295948,-0.008862944661507284,-0.0008898381838841726
232,-0.10530633497990863,-0.008613156888302283,-0.000803102003188777
233,-0.10381239698895263,-0.008418381394505672,-0.0006213100308467621
234,-0.10151955153412448,-0.008177338710386891,-0.0002703603622358329
235,-0.10115102810580288,-0.007827629734890193,7.564129159277094e-05
236,-0.10224140475937585,-0.007508119158670926,0.00025604358414866955
237,-0.10367173266952162,-0.00747895371089711,0.0003747529879985062
238,-0.10391811823601975,-0.007646276502929737,0.0004903740366239493
239,-0.10318737400114315,-0.007839657627180823,0.00046708238712662466
240,-0.10210729511904626,-0.008119539651477468,0.00035855440006425925
241,-0.09786538969950563,-0.008418710207029773,0.000300288172761061
242,-0.0913494942342282,-0.008780435708799078,6.016357877952125e-05
243,-0.08677110699453168,-0.009037079812159272,-0.00015166447767345583
244,-0.08258456976665675,-0.0093211422296905,-0.0003813364096108181
245,-0.08035620509753567,-0.009575202869759516,-0.000703473572106527
246,-0.07821270191805758,-0.009770912444799168,-0.0009473866694214115
247,-0.07696219573866951,-0.009896838091799936,-0.0013012273996012647
248,-0.07476217671901994,-0.010161250244319586,-0.0015201087067902076
249,-0.07239009943335,-0.01036872311184461,-0.0016755905806413814
250,-0.07016816794089509,-0.010402123662670867,-0.0019069854422151377
251,-0.06762635657928302,-0.01041873161246878,-0.002108561165232008
252,-0.06471052621765207,-0.010325699014040176,-0.00223943129065629
253,-0.061699831689921644,-0.010301518262128965,-0.0023337788545172026
254,-0.059317988695324855,-0.010306969613333584,-0.002265062533831752
255,-0.05694996587667072,-0.01035815966662368,-0.0020894356982195904
256,-0.05634127421795386,-0.010392314714856415,-0.0018149859939359178
257,-0.054535077876745844,-0.010457548358789679,-0.0015511353056061224
258,-0.05352419182520709,-0.010557170604729488,-0.0012752385361236025
259,-0.053675786127660476,-0.010564985039104104,-0.0009809888483340514
260,-0.05269645125910439,-0.010414859848201362,-0.00085310990096366
261,-0.051689531674716724,-0.010306608100100945,-0.0007732140923481062
262,-0.05046751627384121,-0.010132746402060112,-0.000754529992478692
263,-0.04859641385734533,-0.010060384661914935,-0.0007581144423964572
264,-0.045890969780699134,-0.010049297764547892,-0.0007414598418875242
265,-0.04064838371639977,-0.010181841340761081,-0.0006929840969831934
266,-0.03551798502943478,-0.010223338875002671,-0.0008893157130934068
267,-0.030589170889645165,-0.010374506025361389,-0.0009882242981498399
268,-0.027314850868704246,-0.010517448471888813,-0.0011665552080321385
269,-0.026289548709688033,-0.010714356398496694,-0.0013890511037280872
270,-0.026214098018388622,-0.010952908997194491,-0.0015858454693773384
271,-0.024152301048825094,-0.011053805164250849,-0.0018476032589298992
272,-0.0212293904693398,-0.010990973741258193,-0.0020314849948451577
273,-0.02060182281567755,-0.01095044803383015,-0.0022701812143610706
274,-0.02039701984401622,-0.010972506026051584,-0.002242722621677962
275,-0.020623951453563993,-0.010880037784707544,-0.002279412581883792
276,-0.02103239616266505,-0.010761765246534188,-0.0023117422838217438
277,-0.020427331955399045,-0.010678539666785124,-0.002213501403827609
278,-0.01636771909370455,-0.010524417944136034,-0.0021437164628816292
279,-0.012681899772217188,-0.01033301692236315,-0.0020976485999868147
280,-0.011105747641505256,-0.010211537318578455,-0.0018770798867214877
281,-0.00788153394362183,-0.010222616206380358,-0.0017215032859861116
282,-0.005038608280001829,-0.010222520099046244,-0.0017518811153605111
283,-0.003327389857494252,-0.010161983057148851,-0.0018806946465404406
284,-0.0007897221637581975,-0.01012689551019575,-0.0020654773361588005
285,0.0015016124862465624,-0.01006336906308691,-0.002197035126309949
286,0.003822984320658289,-0.009966669603802545,-0.002185996895207242
287,0.003796274946206038,-0.009822244754506713,-0.0022743066412317294
288,0.004319417204895084,-0.009744785106038772,-0.002591899819275075
289,0.009179767355288634,-0.009485175244585585,-0.0028746263463247943
290,0.014202273089748077,-0.009278247352989412,-0.0033101539372644368
291,0.01802402715227952,-0.009237402565958489,-0.003574381140801217
292,0.020877526963702642,-0.009230490397053103,-0.0038543921788196643
293,0.02080955226111788,-0.009217151738159375,-0.004175228217241688
294,0.02105316824112615,-0.009209440306930607,-0.004443954783411126
295,0.019129313917167864,-0.009331804125861331,-0.004699481587148891
296,0.01815224071681169,-0.009269919373964389,-0.004900542407599698
297,0.019135604337177686,-0.009394608638483251,-0.0052942181034648424
298,0.017734639692662948,-0.009290264249925295,-0.005477868982419367
299,0.016585217877320008,-0.009199737129849344,-0.005801654731099105
300,0.018025404920044244,-0.008976745824668954,-0.006090827686891212
301,0.020616272186801794,-0.008764471258182246,-0.006307771285584467
302,0.02320935877647034,-0.008704208321461342,-0.006444845527013532
303,0.024624748930571844,-0.008504087737013782,-0.006537107053477955
