,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis
observed_Y,3.9359477336084607e-05,0.028278929625934184,-0.06539966118019183,-0.0465349313024816,-0.0005769733975871,0.0460155103780319,0.061213962939736216,0.09253750396880818,0.7710295751791074
gaussian_CARMA_Y,0.0012495280546233113,0.027017365535690927,-0.06155816050359335,-0.043103909606487044,0.0012159604383958208,0.04576143654112365,0.0642975209067566,0.006941855701522127,0.005686152647959464
nig_CARMA_Y,0.0008559002699891893,0.026990505307980372,-0.0630223262781471,-0.04354294661686971,0.000919879240580946,0.04498528205158068,0.06406698400279372,-0.020257283502427687,0.15429215681086594
observed_DeltaY,4.690307908046197e-06,0.010359140238893089,-0.028238188693595373,-0.01618205127694051,0.00026092633880510103,0.01579289916161472,0.030060032279414343,0.15866532477123374,7.695522713362223
gaussian_CARMA_DeltaY,3.707856523126475e-08,0.010524846693122389,-0.02446286085966304,-0.01730338771242832,-1.1822837101154761e-05,0.01732398752297605,0.024506657637044037,0.0025190528756759284,-0.003739952692494608
nig_CARMA_DeltaY,1.981147263124071e-07,0.01035762947552023,-0.028992480294131297,-0.016541043566894814,0.0001475261435804065,0.01603630045802914,0.02732382072688481,-0.1742853273478761,3.6146783096587223
recovered_DeltaL,1.347448739519166e-05,0.011652491936528625,-0.031114086589910956,-0.018525698068052168,0.0003044476445331068,0.017694650631247474,0.032608748219788326,0.3085078679047937,6.900328813622332
nig_simulated_DeltaL,1.633827553089858e-05,0.011601620500239815,-0.03321741956915466,-0.018528843429506704,0.00021465457311015799,0.017890678466334915,0.03122191893557567,-0.2019797174171915,4.279449167521989
