component,kind,half_life_h,half_life_d,period_h,share
real_fast,real,25.474135175651973,1.061422298985499,inf,0.34609449969759004
real_mid,real,58.16655936241545,2.4236066401006435,inf,0.6146222661096362
osc_daily,osc,72.72106045326112,3.0300441855525464,24.0,0.039283234192773755
