datetime,price_raw,log_price,log_price_seasonal,log_price_resid,split
2024-01-01 00:00:00+00:00,0.01,6.907765278932137,6.964812739355939,-0.05704746042380204,train_2024
2024-01-01 01:00:00+00:00,0.0,6.907755278982137,6.9623561968665495,-0.05460091788441268,train_2024
2024-01-01 02:00:00+00:00,-0.01,6.907745278932136,6.95879083925888,-0.051045560326743455,train_2024
2024-01-01 03:00:00+00:00,-0.03,6.907725278532128,6.958206116631385,-0.050480838099256964,train_2024
2024-01-01 04:00:00+00:00,-0.02,6.907735278782134,6.964443843412344,-0.05670856463020968,train_2024
2024-01-01 05:00:00+00:00,-0.04,6.907715278182116,6.975986864462014,-0.06827158627989771,train_2024
2024-01-01 06:00:00+00:00,-0.01,6.907745278932136,6.990567778333061,-0.08282249940092434,train_2024
2024-01-01 07:00:00+00:00,0.0,6.907755278982137,7.0023436811703785,-0.09458840218824172,train_2024
2024-01-01 08:00:00+00:00,0.04,6.907795278182158,6.99915815822205,-0.09136288003989179,train_2024
2024-01-01 09:00:00+00:00,0.06,6.907815277182209,6.992961469346134,-0.08514619216392472,train_2024
2024-01-01 10:00:00+00:00,0.54,6.908295133234604,6.987849748545472,-0.07955461531086794,train_2024
2024-01-01 11:00:00+00:00,2.24,6.909992773922329,6.982307341091958,-0.07231456716962903,train_2024
2024-01-01 12:00:00+00:00,2.06,6.909813160091581,6.980015864028402,-0.07020270393682093,train_2024
2024-01-01 13:00:00+00:00,1.73,6.909483784255807,6.983294494362466,-0.07381071010665963,train_2024
2024-01-01 14:00:00+00:00,5.72,6.913458981898815,6.986792315048382,-0.07333333314956736,train_2024
2024-01-01 15:00:00+00:00,18.49,6.926076417258327,6.99062994843273,-0.06455353117440321,train_2024
2024-01-01 16:00:00+00:00,37.0,6.9440872082295275,7.000110418110338,-0.05602320988081022,train_2024
2024-01-01 17:00:00+00:00,47.5,6.9541616517962925,7.007174622718475,-0.05301297092218249,train_2024
2024-01-01 18:00:00+00:00,54.97,6.961267609486899,7.004248010438639,-0.04298040095174027,train_2024
2024-01-01 19:00:00+00:00,48.61,6.95522075661785,6.9950597736409925,-0.03983901702314263,train_2024
2024-01-01 20:00:00+00:00,24.88,6.932330811548178,6.986166554786728,-0.053835743238550116,train_2024
2024-01-01 21:00:00+00:00,35.89,6.94301623957601,6.984325135073568,-0.041308895497557785,train_2024
2024-01-01 22:00:00+00:00,35.55,6.94268796552216,6.9788143808751615,-0.03612641535300121,train_2024
2024-01-01 23:00:00+00:00,19.49,6.927057781236634,6.972065140601135,-0.04500735936450084,train_2024
2024-01-02 00:00:00+00:00,16.12,6.923746731400183,6.967597841757467,-0.043851110357284284,train_2024
2024-01-02 01:00:00+00:00,0.06,6.907815277182209,6.965140316941253,-0.05732503975904368,train_2024
2024-01-02 02:00:00+00:00,0.02,6.90777527878214,6.961573533611685,-0.05379825482954548,train_2024
2024-01-02 03:00:00+00:00,0.01,6.907765278932137,6.9609885771642075,-0.05322329823207017,train_2024
2024-01-02 04:00:00+00:00,0.09,6.90784527493238,6.967228798299069,-0.05938352336668906,train_2024
2024-01-02 05:00:00+00:00,20.74,6.928283133433598,6.978776435193679,-0.050493301760081266,train_2024
2024-01-02 06:00:00+00:00,44.7,6.951485041843462,6.993363179707956,-0.04187813786449368,train_2024
2024-01-02 07:00:00+00:00,53.78,6.960138978661699,7.005143791515421,-0.04500481285372171,train_2024
2024-01-02 08:00:00+00:00,54.23,6.960565921614376,7.001956994734192,-0.041391073119815935,train_2024
2024-01-02 09:00:00+00:00,50.0,6.956545443151569,6.995757827914687,-0.03921238476311828,train_2024
2024-01-02 10:00:00+00:00,52.2,6.958638489296707,6.990644063029509,-0.03200557373280244,train_2024
2024-01-02 11:00:00+00:00,45.0,6.951772164398911,6.9850994392676915,-0.033327274868780066,train_2024
2024-01-02 12:00:00+00:00,43.0,6.949856455000773,6.982807045883983,-0.032950590883210396,train_2024
2024-01-02 13:00:00+00:00,43.0,6.949856455000773,6.986086987282905,-0.03623053228213191,train_2024
2024-01-02 14:00:00+00:00,40.99,6.947927462420895,6.989586206683927,-0.04165874426303162,train_2024
2024-01-02 15:00:00+00:00,43.66,6.950489044902347,6.993425374668321,-0.042936329765973724,train_2024
2024-01-02 16:00:00+00:00,52.2,6.958638489296707,7.002909635413952,-0.044271146117245586,train_2024
2024-01-02 17:00:00+00:00,57.77,6.963918197480982,7.009976664869498,-0.04605846738851582,train_2024
2024-01-02 18:00:00+00:00,62.45,6.968332840867741,7.007048882290446,-0.03871604142270524,train_2024
2024-01-02 19:00:00+00:00,58.0,6.964135612418245,6.997856971283409,-0.03372135886516414,train_2024
2024-01-02 20:00:00+00:00,47.9,6.954543440480896,6.988960196192084,-0.034416755711188074,train_2024
2024-01-02 21:00:00+00:00,41.67,6.948580473497272,6.987118040128549,-0.03853756663127683,train_2024
2024-01-02 22:00:00+00:00,21.42,6.928949094989139,6.981605082279402,-0.05265598729026344,train_2024
2024-01-02 23:00:00+00:00,1.29,6.909044447647008,6.974853143106497,-0.06580869545948875,train_2024
2024-01-03 00:00:00+00:00,0.1,6.90785527398247,6.969218521511007,-0.06136324752853728,train_2024
