component,kind,half_life_h,half_life_d,period_h,share
real_fast,real,0.5056387882843576,0.021068282845181568,inf,0.4592465290547126
real_mid,real,41.69299200009907,1.737208000004128,inf,0.30486407209626976
osc_daily,osc,70.40726491284587,2.9336360380352446,24.0,0.23588939884901766
