,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis,delta_std,delta_q01,delta_q99
observed_XtQ,9.02174329422527e-15,2.6510943824119084,-7.583360185954897,-6.443326010061208,0.215576572201551,3.1757435284486766,4.6297098871932345,-1.5595012196410516,3.790356092826874,2.243101702382203,-6.328386983572497,6.926909388299945
gaussian_XtQ,-0.010801692330250487,2.60808675409292,-6.070427077217402,-4.300251088571938,-0.01209231845939529,4.2800683134213395,6.0635516248860535,0.0026993231515891874,-0.00034500753565280817,2.1713400235423617,-5.052368280423578,5.054039811406369
nig_XtQ,-0.029258120258105896,2.62038552876263,-7.208715257032472,-4.159999833195867,0.03209266508075501,3.9146554210928173,6.431378523435551,-0.33571545920810514,4.643999517612284,2.0792171812842333,-6.336946826534929,5.85754616193269
observed_solar_cf,0.1021566372117065,0.14749163022184253,0.0,0.0,0.0067,0.4286,0.5302219999999994,1.3857346109221502,0.7989912744726619,0.042495557147722254,-0.1023,0.10799999999999996
gaussian_solar_cf,0.10306559167477704,0.15296291586402508,0.0,0.0,0.0034120940493832875,0.45450771853971383,0.5349270968347174,1.4103046703272688,0.7638128134313309,0.0665852954179897,-0.20588661453793167,0.19946574861685967
nig_solar_cf,0.10537597148001938,0.15426900899225002,0.0,0.0,0.0033648494613358233,0.4553393765791155,0.5335111940840248,1.362878969339238,0.6075385938148599,0.05953047318586791,-0.1671817286847187,0.1508148633599216
