,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis,delta_std,delta_q01,delta_q99
observed_solar_cf_active,0.18047183545679868,0.15587509525031548,0.0,0.0008,0.1408,0.4727200000000001,0.5549040000000002,0.6556061360685977,-0.6575269964266259,0.05646300731827662,-0.10689999999999991,0.1112999999999999
gaussian_solar_cf_active,0.18206331883758267,0.16400861336086237,1.5532281844343794e-06,0.0001770380946744825,0.13545261731361177,0.4934511100237016,0.5478358679008876,0.6492386324319894,-0.8007875479414679,0.08878936590110377,-0.25341546344386623,0.24281669480872267
nig_solar_cf_active,0.1860947308563785,0.16410675867023714,1.727026019926757e-06,0.00016976651704807695,0.1422148488754144,0.492553169668697,0.5465910570031312,0.6001457292199255,-0.8674460547872753,0.07922302977473629,-0.22082303073480983,0.18641825759717626
