component,kind,half_life_h,half_life_d,period_h,share
real_fast,real,2.0,0.08333333333333333,inf,0.664970955121409
real_mid,real,79.64897965060709,3.318707485441962,inf,1.9662817726706124e-05
real_slow,real,79.63008054037378,3.3179200225155743,inf,0.1935661897818424
osc_daily,osc,130.0610633497981,5.419210972908254,24.0,0.1414431922790218
