restart,success,objective,loglik,acf_mse,message
1,True,1.4137194790535235,-86344.01709408236,0.01023424430926426,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,True,1.413668888435257,-86343.23868996392,0.010111533596830683,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,True,1.413721029637334,-86343.99716144984,0.010259562652614447,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,True,1.413731333585056,-86344.28736494794,0.010219739748597991,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,True,1.4137203217623822,-86343.9966263591,0.010252747319414484,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,True,1.4137411928114516,-86344.3517560325,0.010286633346875188,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,True,1.413720532800112,-86344.04869158418,0.010229226847721215,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,True,1.4137204805120498,-86343.98601469699,0.010259558761798706,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,True,1.413720081292116,-86344.0377279047,0.010230109005808412,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,True,1.4137473351899659,-86345.20068552921,0.009930143184777787,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,True,1.4137566331098719,-86344.14982518996,0.010540443544267001,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,True,1.4136968255154394,-86344.00077695066,0.010015741582423202,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
