,mean,std,q01,q05,median,q95,q99,skew,excess_kurtosis
observed_XtQ,9.02174329422527e-15,2.6510943824119084,-7.583360185954897,-6.443326010061208,0.215576572201551,3.1757435284486766,4.6297098871932345,-1.5595012196410516,3.790356092826874
gaussian_CARMA_XtQ,0.0024326483374574903,2.5847596850252264,-6.013924703338302,-4.247964797136903,0.0034551226143354485,4.253986907268543,6.01438384227362,-0.00027017798745247604,0.0007730256611315767
nig_CARMA_XtQ,-0.005266915770488935,2.572094552003396,-7.020169512946644,-4.068186764622621,0.053947662468565416,3.876726264992015,6.323726359060153,-0.3218298452602784,4.4190100632284555
observed_Delta_XtQ,2.3150184038079964e-06,2.243101702382203,-6.328386983572497,-3.3517715018563186,-0.000175969659601094,3.8194903941234566,6.926909388299945,0.3035554974727858,12.895893408287789
gaussian_CARMA_Delta_XtQ,-9.823171827834146e-07,2.181119835912834,-5.0777427039485366,-3.5889561063040034,0.0008067058169327623,3.585337833928511,5.072562203141947,-0.0017073466936863484,0.0010803729213297864
nig_CARMA_Delta_XtQ,-1.8878888479723954e-06,2.0589163337957395,-6.247257462274595,-3.032210403678072,0.02518077964331525,2.9711278007291955,5.794936674662178,-0.4250151477853874,11.072748591892012
recovered_DeltaL,0.0001330790279976881,2.896418561228813,-8.985380007964057,-4.493309596843435,0.07963426664706574,4.2482045092113765,7.922305911790033,-0.8887292812029183,10.478543340852928
nig_simulated_DeltaL,-0.0009918197129067953,3.042989742045657,-9.966003330580357,-4.301818454109299,0.09120813415144369,4.008991077633958,8.681382486843729,-0.8065518517546555,18.52520328301145
