series,model,mean,std,loglik,AIC,BIC,alpha,beta,delta,mu
price_idiosyncratic_driver,Gaussian,1.4197949405832173e-06,0.013224914752657435,76458.21068446944,-152912.42136893887,-152896.06641634315,,,,
price_idiosyncratic_driver,NIG,7.370578981343153e-07,0.012115365122313272,83508.0571749578,-167008.1143499156,-166975.40444472418,47.34630514977263,-4.8797344405431655,0.0068391520126185965,0.0007093862592245077
