branch,n_paths,corr_mean,corr_q05,corr_q25,corr_q50,corr_q75,corr_q95,empirical_corr,corr_error_mean,comparison_start,comparison_end
Constant covariance,1000,-0.20835890131334037,-0.3170409585413346,-0.25620381949038473,-0.2094288730274913,-0.16320216948710098,-0.08739129969170017,-0.24199544551341393,0.03363654420007356,2025-04-20,2025-08-20 20:00:00
Stochastic covariance,1000,-0.21065597015133117,-0.37764390766587447,-0.2778031874165563,-0.21397670753113013,-0.14666917384258052,-0.025974782066747644,-0.24199544551341393,0.03133947536208276,2025-04-20,2025-08-20 20:00:00
