time,branch,q05,q50,q95
2025-06-18 23:00:00,Constant covariance,-0.35801662571048093,-0.1895963637196615,-0.03438642166590128
2025-06-19 00:00:00,Constant covariance,-0.3579486393097736,-0.18955648423052252,-0.034754678641910355
2025-06-19 01:00:00,Constant covariance,-0.35797533191676073,-0.1897851866180053,-0.035405132313142594
2025-06-19 02:00:00,Constant covariance,-0.3581102511510632,-0.18998228395274958,-0.03589218443123394
2025-06-19 03:00:00,Constant covariance,-0.35800129786010965,-0.19002535445508859,-0.03636410851340844
2025-06-19 04:00:00,Constant covariance,-0.35797487812954587,-0.19024509174809345,-0.036774895602329744
2025-06-19 05:00:00,Constant covariance,-0.35791300676888926,-0.1907818729918614,-0.03659457642928777
2025-06-19 06:00:00,Constant covariance,-0.3578328431145016,-0.19143970374547042,-0.035711382152171914
2025-06-19 07:00:00,Constant covariance,-0.3578952668056888,-0.192134464208221,-0.03435714824143091
2025-06-19 08:00:00,Constant covariance,-0.3581298791241259,-0.1919935461668113,-0.03346289840325499
2025-06-19 09:00:00,Constant covariance,-0.3587066628873802,-0.1918733716565125,-0.03333529497825961
2025-06-19 10:00:00,Constant covariance,-0.3594835904531077,-0.19223985048181094,-0.03340632376809947
2025-06-19 11:00:00,Constant covariance,-0.360199975422172,-0.19262091205171303,-0.03328870963786784
2025-06-19 12:00:00,Constant covariance,-0.3608683980896349,-0.19331796695811926,-0.03321957789591731
2025-06-19 13:00:00,Constant covariance,-0.36133990470294985,-0.19519130479104896,-0.032880549205247724
2025-06-19 14:00:00,Constant covariance,-0.3614714910549939,-0.19667636645907144,-0.03223921091442455
2025-06-19 15:00:00,Constant covariance,-0.3615817728767271,-0.19613947385811173,-0.03167589417361596
2025-06-19 16:00:00,Constant covariance,-0.3616512832168594,-0.196700090643854,-0.0312796634594151
2025-06-19 17:00:00,Constant covariance,-0.3620798018996457,-0.19718173478089634,-0.03095100247170227
2025-06-19 18:00:00,Constant covariance,-0.362226451410426,-0.19768179456351526,-0.03053811848985493
2025-06-19 19:00:00,Constant covariance,-0.36210799979775843,-0.1985272872098885,-0.030966494715192618
2025-06-19 20:00:00,Constant covariance,-0.3608300512169982,-0.19896183797578076,-0.03127145028952682
2025-06-19 21:00:00,Constant covariance,-0.3591955316611833,-0.19877324036348432,-0.031096049095728606
2025-06-19 22:00:00,Constant covariance,-0.3578039814303971,-0.19896179595785893,-0.031022984054553105
