branch,n_paths,low_mean_q05,low_mean_q50,low_mean_q95,high_mean_q05,high_mean_q50,high_mean_q95,spread_q05,spread_q50,spread_q95,empirical_low_mean,empirical_high_mean,empirical_low_minus_high_spread,wind_low_threshold,wind_high_threshold
Constant covariance,500,77.03198772273994,88.16791799091078,99.86948691243023,51.34673553695201,61.38045699310712,70.93866981972855,14.929525518648381,26.927365550807934,38.956384854900044,73.15803519061583,51.011480938416426,22.146554252199408,0.0451,0.2346
Stochastic covariance,500,72.79661245416837,85.66122234512041,102.27917326698702,49.75097432910145,61.17556528728545,73.18916571754605,3.9443620361178766,25.384897116526915,45.322862808260865,73.15803519061583,51.011480938416426,22.146554252199408,0.0451,0.2346
