time,branch,q05,q25,q50,q75,q95,mean
2025-06-18 23:00:00,Constant covariance,-0.35801662571048093,-0.26202716890475525,-0.1895963637196615,-0.12277676050369149,-0.03438642166590128,-0.19064344911466907
2025-06-19 00:00:00,Constant covariance,-0.3579486393097736,-0.2607722579141664,-0.18955648423052252,-0.12272174715720659,-0.034754678641910355,-0.19067061992158682
2025-06-19 01:00:00,Constant covariance,-0.35797533191676073,-0.26059551292624417,-0.1897851866180053,-0.12286211606787865,-0.035405132313142594,-0.19077258626945215
2025-06-19 02:00:00,Constant covariance,-0.3581102511510632,-0.2607826510035639,-0.18998228395274958,-0.1231849654564865,-0.03589218443123394,-0.19086597682681758
2025-06-19 03:00:00,Constant covariance,-0.35800129786010965,-0.26096979336799836,-0.19002535445508859,-0.12327499097140654,-0.03636410851340844,-0.19099313575917354
2025-06-19 04:00:00,Constant covariance,-0.35797487812954587,-0.2611640910517791,-0.19024509174809345,-0.12332508723684531,-0.036774895602329744,-0.19111680137083217
2025-06-19 05:00:00,Constant covariance,-0.35791300676888926,-0.2614278749361273,-0.1907818729918614,-0.12333873850872523,-0.03659457642928777,-0.19122768915586277
2025-06-19 06:00:00,Constant covariance,-0.3578328431145016,-0.26142432306647834,-0.19143970374547042,-0.12328590372293018,-0.035711382152171914,-0.19131252394641826
2025-06-19 07:00:00,Constant covariance,-0.3578952668056888,-0.26131545651370225,-0.192134464208221,-0.12336652335827689,-0.03435714824143091,-0.19134414053256715
2025-06-19 08:00:00,Constant covariance,-0.3581298791241259,-0.26128747772656125,-0.1919935461668113,-0.12301625129838785,-0.03346289840325499,-0.191421466361745
2025-06-19 09:00:00,Constant covariance,-0.3587066628873802,-0.2615773402048224,-0.1918733716565125,-0.12350340532884431,-0.03333529497825961,-0.19160589010915893
2025-06-19 10:00:00,Constant covariance,-0.3594835904531077,-0.2617010820346208,-0.19223985048181094,-0.12382595626509474,-0.03340632376809947,-0.1918873401061449
2025-06-19 11:00:00,Constant covariance,-0.360199975422172,-0.2618300709589847,-0.19262091205171303,-0.12390553368151047,-0.03328870963786784,-0.1921537103836926
