branch,path,raw_slope,raw_intercept,iso_slope,iso_intercept,raw_corr,resid_corr,mean_wind,mean_price,n_days
Constant covariance,0,-0.367392254485137,90.12652176701083,-0.45271990517826877,92.0283128289422,-0.2100506368565709,-0.2970080125053846,22.288098248138674,81.93804710344092,721
Constant covariance,1,-0.2941899592621007,91.09772851695917,-0.7008285029017645,100.25148391165175,-0.17440835869737512,-0.4430574440057593,22.510791310535577,84.47527973835506,721
Constant covariance,2,-0.2426469354786747,90.6380254338655,-0.521785913854302,96.7484378334551,-0.14147704681279774,-0.3325250457245676,21.890215530441058,85.32643171843628,721
Constant covariance,3,-0.24976498148953682,91.70761372374736,-0.5451996820939621,97.67188257018405,-0.13337673127559688,-0.3234664771955631,20.18811207429087,86.6653302852034,721
Constant covariance,4,-0.26268306914202144,93.1078433773664,-0.5666542287576842,100.15325156141336,-0.15576197010903617,-0.3595694113599981,23.17788369447645,87.0194057522845,721
Constant covariance,5,-0.23676313934884596,90.79568488768187,-0.4928687476017114,96.63650499542607,-0.1383576509500216,-0.32469482952733214,22.806295213876272,85.39599483592797,721
Constant covariance,6,-0.1672562033969898,90.67855452842596,-0.418216396056385,96.35013154748955,-0.096441876214101,-0.27342808544105485,22.599508547401754,86.89864653014972,721
Constant covariance,7,-0.39899330790784737,95.4958440458233,-0.6127844076942864,99.9734523858545,-0.21200408600900114,-0.38259616480800207,20.943848198096084,87.13938877294514,721
Constant covariance,8,-0.33725321605069986,95.70343823630114,-0.6208904274519186,101.62205135939715,-0.1807706597192424,-0.3651538862205296,20.866842872474308,88.66602836873456,721
Constant covariance,9,-0.28243300875580624,90.00716581822647,-0.4845017166203182,94.75797367379037,-0.16879527265081046,-0.324666853335146,23.510853836653123,83.36692463072254,721
Constant covariance,10,-0.3767846526293102,92.03462657428068,-0.5729251091855829,96.68537851406151,-0.22329297804779816,-0.38128044806886974,23.711334323556713,83.10055970780192,721
Constant covariance,11,-0.255938478590308,91.03964401059919,-0.5247221188198328,97.19212259968641,-0.14474846080937814,-0.3854662040074542,22.890078368733203,85.1811921780927,721
Constant covariance,12,-0.35953156769058753,92.25299223585642,-0.5540694342740597,96.88974609786459,-0.21333142225340418,-0.3766465278933449,23.83471117186652,83.6836611627829,721
Constant covariance,13,-0.29734725649512683,90.56360668638332,-0.4713023875656508,94.68626884429219,-0.16245044091975566,-0.3008652882690212,23.699572024911895,83.51660396466711,721
Constant covariance,14,-0.37124025082367923,89.52808074642441,-0.527684229582157,92.98021540706193,-0.2081013263419944,-0.3511451239278554,22.06626735035306,81.33619412053697,721
Constant covariance,15,-0.3084401482439002,94.53022875779553,-0.5661600290488717,100.03969805862381,-0.16646696120146665,-0.36757351176789893,21.377742701183227,87.93647462992261,721
Constant covariance,16,-0.3144274075850738,90.16655361602479,-0.4546542162689465,93.1576827880859,-0.17614213558794906,-0.27779089792742545,21.33065139351718,83.45961219626024,721
Constant covariance,17,-0.2911374621221984,92.74188508518024,-0.47131396328682745,96.87963293744129,-0.17280606420637112,-0.3010130566593582,22.964969491112143,86.05592214982414,721
Constant covariance,18,-0.37211519441993557,90.4855328073183,-0.48813439795077745,92.98143130740445,-0.21361418494939133,-0.35126117532280626,21.512804985104548,82.48029119776795,721
Constant covariance,19,-0.04870341032769174,90.15570070805876,-0.2824088218869268,95.23840281698602,-0.02852886380857206,-0.197470855975583,21.748328697296785,89.0964829315728,721
Constant covariance,20,-0.39443502058277,92.53794237341494,-0.6082163587507187,96.83048925505916,-0.21112685218338145,-0.35782213506725036,20.07914684429547,84.61802367460079,721
Constant covariance,21,-0.15370327669211264,91.28115337056336,-0.44774029734298326,98.31762667267867,-0.08470694253880608,-0.2813004593346081,23.93056930906051,87.60294645465305,721
Constant covariance,22,-0.2947142920456249,91.08700813948577,-0.5162541639421255,95.63788923288766,-0.16134838365733375,-0.3091238688758355,20.542040827431588,85.03297511985696,721
Constant covariance,23,-0.5109682661331328,98.85705638560215,-0.6707299068392607,102.49063150343167,-0.30860094956913636,-0.45030060176416387,22.74372685313919,87.23573371004804,721
Constant covariance,24,-0.30552035807910094,90.1645632051808,-0.45140918429657917,93.36737841973869,-0.1708106102694025,-0.3070854741473161,21.953807550575615,83.45722806112927,721
Constant covariance,25,-0.3253212669316571,92.99123561414011,-0.5134767802569793,97.5658176708128,-0.2047394801377713,-0.3570786934769681,24.31277179087073,85.0817738925138,721
Constant covariance,26,-0.22683185193058777,86.73573262028037,-0.5155092390825864,93.07560385947924,-0.12692770303098128,-0.30847431548610993,21.961786829741218,81.75409984198538,721
Constant covariance,27,-0.3893019903738321,90.04245386255897,-0.5381438927184562,93.22270946703199,-0.21852925331391562,-0.3605173096280605,21.366668622049364,81.72436724033705,721
Constant covariance,28,-0.37225229085126604,95.93476470866972,-0.5792228915686095,101.03981656701283,-0.22475538086966895,-0.3921457046146005,24.66558941535376,86.75294254360755,721
Constant covariance,29,-0.44140003694302554,94.25781484651858,-0.599297614438205,97.93393562544622,-0.2596018004988584,-0.4007850004656116,23.281679410438525,83.98128069465534,721
Constant covariance,30,-0.3429006664532634,92.65095793701512,-0.5173563822732393,96.60608432311753,-0.19931574119691425,-0.3621421433172164,22.671234172595245,84.87697662991421,721
Constant covariance,31,-0.33887924048923507,94.53165565219683,-0.539119238546418,99.36419537601559,-0.19081324204662437,-0.3541723184044515,24.133738367489986,86.35323272405591,721
Constant covariance,32,-0.43824899680633944,93.23737769218972,-0.4852585304178174,94.37285263886028,-0.25340151907050457,-0.30570627346274915,24.154141924805412,82.65184922492581,721
