branch,n_paths,corr_mean,corr_q05,corr_q50,corr_q95,capture_mean,capture_q05,capture_q50,capture_q95,empirical_corr,empirical_capture_price,corr_error_mean,capture_error_mean
Constant covariance,1000,-0.20835890131334037,-0.3170409585413346,-0.2094288730274913,-0.08739129969170017,66.04938570241038,55.76839452882624,65.97779954369929,76.14327165509117,-0.24199544551341393,63.74799806003419,0.03363654420007356,2.3013876423761843
Stochastic covariance,1000,-0.21065597015133117,-0.37764390766587447,-0.21397670753113013,-0.025974782066747644,65.70296841309667,54.30439120377581,65.6087304670323,77.3493721316336,-0.24199544551341393,63.74799806003419,0.03133947536208276,1.9549703530624782
