time,empirical_corr,window_label,window
2025-04-07 23:00:00,-0.36242695536046177,7D,168
2025-04-08 00:00:00,-0.36339834444488894,7D,168
2025-04-08 01:00:00,-0.363866906976146,7D,168
2025-04-08 02:00:00,-0.36501214489910394,7D,168
2025-04-08 03:00:00,-0.36630818921306285,7D,168
2025-04-08 04:00:00,-0.36744393868812136,7D,168
2025-04-08 05:00:00,-0.3711585885458164,7D,168
2025-04-08 06:00:00,-0.38119430848464164,7D,168
2025-04-08 07:00:00,-0.3958163935656124,7D,168
2025-04-08 08:00:00,-0.40118978218045637,7D,168
2025-04-08 09:00:00,-0.3894234927831816,7D,168
2025-04-08 10:00:00,-0.36608283924107327,7D,168
2025-04-08 11:00:00,-0.3668781016493357,7D,168
2025-04-08 12:00:00,-0.36077116128636355,7D,168
2025-04-08 13:00:00,-0.3524758730915395,7D,168
2025-04-08 14:00:00,-0.3468252114806586,7D,168
2025-04-08 15:00:00,-0.3481022200592653,7D,168
2025-04-08 16:00:00,-0.35451876308843194,7D,168
2025-04-08 17:00:00,-0.35634876016316963,7D,168
2025-04-08 18:00:00,-0.3616207127973367,7D,168
2025-04-08 19:00:00,-0.36019685153399666,7D,168
2025-04-08 20:00:00,-0.3623026317508561,7D,168
2025-04-08 21:00:00,-0.36472357623391505,7D,168
2025-04-08 22:00:00,-0.36690475719967364,7D,168
2025-04-08 23:00:00,-0.36951048147596277,7D,168
2025-04-09 00:00:00,-0.370931990656867,7D,168
2025-04-09 01:00:00,-0.37253625193079515,7D,168
2025-04-09 02:00:00,-0.3748073881547006,7D,168
2025-04-09 03:00:00,-0.3771174880924891,7D,168
2025-04-09 04:00:00,-0.3791655607574377,7D,168
2025-04-09 05:00:00,-0.3824976221062978,7D,168
2025-04-09 06:00:00,-0.3887642927114326,7D,168
2025-04-09 07:00:00,-0.3984699243239765,7D,168
2025-04-09 08:00:00,-0.40363914847396526,7D,168
2025-04-09 09:00:00,-0.405448812255898,7D,168
2025-04-09 10:00:00,-0.4056295193977385,7D,168
2025-04-09 11:00:00,-0.40127248636857477,7D,168
2025-04-09 12:00:00,-0.39253536176177467,7D,168
2025-04-09 13:00:00,-0.38484927297733945,7D,168
2025-04-09 14:00:00,-0.3761597257485959,7D,168
2025-04-09 15:00:00,-0.36691011679362223,7D,168
2025-04-09 16:00:00,-0.3539358533137137,7D,168
2025-04-09 17:00:00,-0.3397106665116263,7D,168
2025-04-09 18:00:00,-0.33683187647186025,7D,168
2025-04-09 19:00:00,-0.335350906667191,7D,168
2025-04-09 20:00:00,-0.32930039125733085,7D,168
2025-04-09 21:00:00,-0.3257249986081458,7D,168
2025-04-09 22:00:00,-0.3217825664616439,7D,168
2025-04-09 23:00:00,-0.3165692783556477,7D,168
2025-04-10 00:00:00,-0.3141324277760413,7D,168
2025-04-10 01:00:00,-0.31237920910523576,7D,168
2025-04-10 02:00:00,-0.31036145670451065,7D,168
2025-04-10 03:00:00,-0.30874556437509604,7D,168
2025-04-10 04:00:00,-0.30741377298906364,7D,168
2025-04-10 05:00:00,-0.30812303334613905,7D,168
2025-04-10 06:00:00,-0.3130049286528602,7D,168
2025-04-10 07:00:00,-0.3211052481774501,7D,168
2025-04-10 08:00:00,-0.32729889850198784,7D,168
2025-04-10 09:00:00,-0.327965233184718,7D,168
2025-04-10 10:00:00,-0.3294991136995966,7D,168
2025-04-10 11:00:00,-0.33257912376443344,7D,168
2025-04-10 12:00:00,-0.3319992890781485,7D,168
2025-04-10 13:00:00,-0.32845146005287273,7D,168
2025-04-10 14:00:00,-0.32888154620704035,7D,168
2025-04-10 15:00:00,-0.3317289222141727,7D,168
2025-04-10 16:00:00,-0.3332149607892831,7D,168
2025-04-10 17:00:00,-0.3342636912103034,7D,168
2025-04-10 18:00:00,-0.33667797915313896,7D,168
2025-04-10 19:00:00,-0.3393771358401292,7D,168
2025-04-10 20:00:00,-0.3436223668601876,7D,168
2025-04-10 21:00:00,-0.3530864464471809,7D,168
2025-04-10 22:00:00,-0.35686206665749715,7D,168
2025-04-10 23:00:00,-0.36004363422196234,7D,168
2025-04-11 00:00:00,-0.36300662393071337,7D,168
2025-04-11 01:00:00,-0.36388025162741267,7D,168
2025-04-11 02:00:00,-0.3623746442117349,7D,168
2025-04-11 03:00:00,-0.35782407979513847,7D,168
2025-04-11 04:00:00,-0.35128282592893695,7D,168
2025-04-11 05:00:00,-0.34404759980942873,7D,168
2025-04-11 06:00:00,-0.33294251255872676,7D,168
2025-04-11 07:00:00,-0.3200325752648381,7D,168
2025-04-11 08:00:00,-0.31259901929716233,7D,168
2025-04-11 09:00:00,-0.3104048813816236,7D,168
2025-04-11 10:00:00,-0.3169049926103167,7D,168
2025-04-11 11:00:00,-0.34297032621084733,7D,168
2025-04-11 12:00:00,-0.362352529508725,7D,168
2025-04-11 13:00:00,-0.37646837078968143,7D,168
2025-04-11 14:00:00,-0.3896917653327629,7D,168
2025-04-11 15:00:00,-0.4058726243501332,7D,168
2025-04-11 16:00:00,-0.4150962812172433,7D,168
2025-04-11 17:00:00,-0.40767659936777095,7D,168
2025-04-11 18:00:00,-0.3943499509921644,7D,168
2025-04-11 19:00:00,-0.3906357762227464,7D,168
2025-04-11 20:00:00,-0.38860732551817867,7D,168
2025-04-11 21:00:00,-0.3886374171942179,7D,168
2025-04-11 22:00:00,-0.3897495306895646,7D,168
2025-04-11 23:00:00,-0.39191456881909614,7D,168
2025-04-12 00:00:00,-0.39419380723375386,7D,168
2025-04-12 01:00:00,-0.396910346864643,7D,168
2025-04-12 02:00:00,-0.40121786377061497,7D,168
2025-04-12 03:00:00,-0.40528425398317947,7D,168
2025-04-12 04:00:00,-0.40841520046108687,7D,168
2025-04-12 05:00:00,-0.41148588732295444,7D,168
2025-04-12 06:00:00,-0.4156910699637717,7D,168
2025-04-12 07:00:00,-0.4207127086015425,7D,168
2025-04-12 08:00:00,-0.4266646312478235,7D,168
2025-04-12 09:00:00,-0.42722974900219396,7D,168
2025-04-12 10:00:00,-0.4299669146677879,7D,168
2025-04-12 11:00:00,-0.43027271748459756,7D,168
2025-04-12 12:00:00,-0.43020316874476544,7D,168
2025-04-12 13:00:00,-0.42569213215521895,7D,168
2025-04-12 14:00:00,-0.418448668622184,7D,168
2025-04-12 15:00:00,-0.4114964429406869,7D,168
2025-04-12 16:00:00,-0.40402686962310935,7D,168
2025-04-12 17:00:00,-0.39574061235674374,7D,168
2025-04-12 18:00:00,-0.38942997525432055,7D,168
2025-04-12 19:00:00,-0.3822984611013272,7D,168
2025-04-12 20:00:00,-0.37523654749745206,7D,168
2025-04-12 21:00:00,-0.3684097794458558,7D,168
2025-04-12 22:00:00,-0.3603390176243612,7D,168
2025-04-12 23:00:00,-0.35465070170195445,7D,168
2025-04-13 00:00:00,-0.34518191741271964,7D,168
2025-04-13 01:00:00,-0.3363954605755483,7D,168
2025-04-13 02:00:00,-0.3314768102235191,7D,168
2025-04-13 03:00:00,-0.33019389731202226,7D,168
2025-04-13 04:00:00,-0.32858469875747537,7D,168
2025-04-13 05:00:00,-0.32670977474463625,7D,168
2025-04-13 06:00:00,-0.325576485917512,7D,168
2025-04-13 07:00:00,-0.3238838941498024,7D,168
2025-04-13 08:00:00,-0.3212311187553563,7D,168
2025-04-13 09:00:00,-0.319562103817793,7D,168
2025-04-13 10:00:00,-0.31302477866264067,7D,168
2025-04-13 11:00:00,-0.30150322444885547,7D,168
2025-04-13 12:00:00,-0.2847634165889322,7D,168
2025-04-13 13:00:00,-0.2748087582546847,7D,168
2025-04-13 14:00:00,-0.27215394973271934,7D,168
2025-04-13 15:00:00,-0.27163910562992505,7D,168
2025-04-13 16:00:00,-0.2732694966613641,7D,168
2025-04-13 17:00:00,-0.27777800470839353,7D,168
2025-04-13 18:00:00,-0.26891919620719174,7D,168
2025-04-13 19:00:00,-0.2622763206782221,7D,168
