branch,n_paths,raw_slope_mean,raw_slope_q05,raw_slope_q50,raw_slope_q95,iso_slope_mean,iso_slope_q05,iso_slope_q50,iso_slope_q95,raw_corr_mean,resid_corr_mean,empirical_raw_slope,empirical_iso_slope,empirical_raw_corr,empirical_resid_corr,comparison_start,comparison_end
Constant covariance,300,-0.32763768854708764,-0.49810515869393773,-0.32461875662761513,-0.14230863178651354,-0.5403523306214841,-0.6709491433308729,-0.544389886817711,-0.40314158458146127,-0.18739759981275048,-0.3491646815566509,-1.0126601966457662,-1.5887963361776893,-0.47568636409909676,-0.7982106777536747,2023-08-30 21:00:00,2025-08-20 20:00:00
Stochastic covariance,300,-0.32091194079594704,-0.6609306097995076,-0.33469993619668575,-0.014854134547344428,-0.554640249652792,-0.920541927761115,-0.5563580528359262,-0.21389867382836916,-0.18395568639471996,-0.3518674333328819,-1.0126601966457662,-1.5887963361776893,-0.47568636409909676,-0.7982106777536747,2023-08-30 21:00:00,2025-08-20 20:00:00
