branch,n_paths,corr_mean,corr_q05,corr_q50,corr_q95,empirical_corr,corr_error_mean
Constant covariance,500,-0.22508744312668813,-0.326855398399849,-0.22455817770934777,-0.13044122899728794,-0.22741312313967002,0.00232568001298189
Stochastic covariance,500,-0.21485780085976156,-0.3587975261085725,-0.21924025159854116,-0.0418796684037952,-0.22741312313967002,0.012555322279908465
