branch,pointwise_90_band_coverage,pointwise_50_band_coverage,empirical_mean_rolling_corr,model_median_mean_rolling_corr,mean_error
Constant covariance,0.6503311258278146,0.2033112582781457,-0.2869785451148371,-0.19070026150694033,0.09627828360789678
Stochastic covariance,1.0,0.5509933774834437,-0.2869785451148371,-0.1993882659986254,0.0875902791162117
