branch,n_paths,corr_mean,corr_q05,corr_q50,corr_q95,capture_mean,capture_q05,capture_q50,capture_q95,empirical_corr,empirical_capture_price,corr_error_mean,capture_error_mean,comparison_start,comparison_end
Constant covariance,300,-0.13892808416458435,-0.1938400929978563,-0.13846540916915234,-0.07793368743296022,79.08554024500937,74.65925493300551,79.07997361562522,83.42420781613684,-0.3737827085559994,66.2806118307307,0.23485462439141502,12.804928414278663,2023-08-30 21:00:00,2025-08-20 20:00:00
Stochastic covariance,300,-0.13789442024425774,-0.2999817076067546,-0.139115506961164,0.001718352918730004,79.39968565797523,70.96067127744215,79.61393283659434,87.43190549395639,-0.3737827085559994,66.2806118307307,0.23588828831174163,13.11907382724452,2023-08-30 21:00:00,2025-08-20 20:00:00
