time,branch,window,q05,q50,q95,mean
2025-04-07 23:00:00,Constant covariance,168,-0.626228088299083,-0.32172865669849365,0.05643295234245824,-0.3018712137081503
2025-04-08 00:00:00,Constant covariance,168,-0.6276957558548842,-0.3279808649934084,0.056186401338013156,-0.30307636627775925
2025-04-08 01:00:00,Constant covariance,168,-0.6283877481411261,-0.3313906218029651,0.05574019143725379,-0.30452153148973504
2025-04-08 02:00:00,Constant covariance,168,-0.6329047836518681,-0.3330129064861136,0.05798962477455796,-0.30627012274976606
2025-04-08 03:00:00,Constant covariance,168,-0.638549153795257,-0.33271689267214655,0.058288863565667336,-0.30775607477994615
2025-04-08 04:00:00,Constant covariance,168,-0.6429574400511253,-0.33019374489614217,0.0579663054761718,-0.30867149010976314
2025-04-08 05:00:00,Constant covariance,168,-0.6506233686658482,-0.3258256181169613,0.06071767079684814,-0.3092938973754047
2025-04-08 06:00:00,Constant covariance,168,-0.6551438828422816,-0.3229514272902218,0.058470694924366094,-0.3099936248662331
2025-04-08 07:00:00,Constant covariance,168,-0.6505400218282746,-0.3269183865317634,0.04009165885156853,-0.3109539802025309
2025-04-08 08:00:00,Constant covariance,168,-0.6504769971665729,-0.32645286192567213,0.033059057988425636,-0.3117925742598323
2025-04-08 09:00:00,Constant covariance,168,-0.6587471949172609,-0.3305884147761301,0.03227804455988124,-0.31293543285547326
2025-04-08 10:00:00,Constant covariance,168,-0.6631713713442569,-0.33566406113092073,0.037787972785316565,-0.3143552497479081
2025-04-08 11:00:00,Constant covariance,168,-0.6643035341749253,-0.33241876692197536,0.042953155973864766,-0.3152409876266507
2025-04-08 12:00:00,Constant covariance,168,-0.6644519973956229,-0.3333122845288514,0.03731199707816649,-0.31581116376967094
2025-04-08 13:00:00,Constant covariance,168,-0.6647191525733742,-0.33482184634520207,0.04251277372986343,-0.31648390936199433
2025-04-08 14:00:00,Constant covariance,168,-0.66843167679719,-0.33770350412687333,0.05203269561965779,-0.3166472725261983
2025-04-08 15:00:00,Constant covariance,168,-0.6701578989069709,-0.3414323737874244,0.05195586444295673,-0.31625436850618094
2025-04-08 16:00:00,Constant covariance,168,-0.6741549906272224,-0.3393743692777859,0.04814401094202844,-0.3160539014011123
2025-04-08 17:00:00,Constant covariance,168,-0.6711436221665568,-0.340280965435092,0.045552301504713066,-0.316192220037905
2025-04-08 18:00:00,Constant covariance,168,-0.6665320567986227,-0.3411251791248914,0.0473372902735656,-0.3157671011168825
2025-04-08 19:00:00,Constant covariance,168,-0.6648515646357852,-0.3429955910097432,0.053622985593001875,-0.3156393995883982
2025-04-08 20:00:00,Constant covariance,168,-0.6657593225789532,-0.33827748190860096,0.05352071509549847,-0.31534498637518993
2025-04-08 21:00:00,Constant covariance,168,-0.6669813083262078,-0.34137347852548394,0.05796453595204824,-0.31516395580278955
2025-04-08 22:00:00,Constant covariance,168,-0.6669928202640516,-0.3372095441117169,0.0643232717842482,-0.3151401441104416
2025-04-08 23:00:00,Constant covariance,168,-0.6609185439828573,-0.3372034202569845,0.08037081815622982,-0.3147564604886099
2025-04-09 00:00:00,Constant covariance,168,-0.6568495883642824,-0.3391728304385599,0.08625000339848286,-0.31465965300003423
2025-04-09 01:00:00,Constant covariance,168,-0.6507325542446014,-0.34482891809815086,0.07927580671658531,-0.31492600223125006
2025-04-09 02:00:00,Constant covariance,168,-0.6475914297425299,-0.34319726895966507,0.07762533325191531,-0.3149973773863978
2025-04-09 03:00:00,Constant covariance,168,-0.6451572938054602,-0.337099876156182,0.0814090590955046,-0.3148392659489169
2025-04-09 04:00:00,Constant covariance,168,-0.6454381846101448,-0.33682648995168574,0.08561877552121791,-0.3144948633018209
2025-04-09 05:00:00,Constant covariance,168,-0.6449822909783437,-0.3340217971751399,0.08430950297964734,-0.3142860686110977
2025-04-09 06:00:00,Constant covariance,168,-0.6448621106244898,-0.3327355119446339,0.07824164869550713,-0.3138005032862243
2025-04-09 07:00:00,Constant covariance,168,-0.6414481007915264,-0.32861929140726215,0.07394767291229067,-0.3137864325167069
2025-04-09 08:00:00,Constant covariance,168,-0.6405887951875336,-0.3331691786670307,0.07516398050301816,-0.3134972222162904
2025-04-09 09:00:00,Constant covariance,168,-0.6405147829048498,-0.3318941374134276,0.07616310507855369,-0.3134975540776491
2025-04-09 10:00:00,Constant covariance,168,-0.639534442479241,-0.32955824492097785,0.06971956955915816,-0.3134391402971346
