object,n,mean,std,q05,q95
Spot innovation,19461,-0.00808970603352735,12.599506930218498,-17.55783267125872,15.882005673074374
Wind innovation,19461,-1.0200548576698175e-05,0.33880391004464505,-0.418005986658728,0.41422029314502684
Negative jump size,10,-61.545,61.108594821932456,-156.6655,-33.867999999999995
Positive jump size,162,69.70506172839507,46.066345407343874,33.78600000000001,155.47549999999998
