bin,wind_center,spot_mean,n_hours
1,0.014650000000000002,72.72312941176472,425
2,0.04305,76.87563380281689,426
3,0.073175,90.41427230046949,426
4,0.106325,88.74016548463356,423
5,0.14295,78.05539906103286,426
6,0.1856,77.30482435597189,427
7,0.2509,64.22274647887323,426
8,0.51605,44.48920187793428,426
