window,window_hours,rmse_var_spot_state,rmse_var_rel_spot_state,rmse_cov_spot_state_wind_state,rmse_cov_rel_spot_state_wind_state,rmse_corr_spot_state_wind_state,rmse_var_wind_state,rmse_var_rel_wind_state,rmse_cov_rel_mean,rmse_corr_mean,selection_score
90D,2160,76.26677285099689,0.4724507346851611,0.16761337685505262,0.041149931060541024,0.04976720265229749,0.04777326097942821,0.43423698421387713,0.31594588331985973,0.04976720265229749,0.18285654298607862
30D,720,105.86483927520803,0.659933109074655,0.24146513323965235,0.060894599427675,0.06311183216669344,0.06930801332307428,0.6201673316433501,0.4469983467152267,0.06311183216669344,0.25505508944096006
14D,336,152.41170906138666,0.955513116586252,0.35308668206917154,0.09161825988428217,0.09387634341985282,0.08992643683810861,0.7934987222168455,0.6135433662291265,0.09387634341985282,0.3537098548244897
