lag,spot_from_spot,spot_from_wind,wind_from_spot_forbidden,wind_from_wind
1,1.0224722395919714,-1.3002354618377454,0.0,1.1157648151387907
2,-0.11627370817764134,-0.8710561028563958,0.0,-0.14269523552784516
3,-0.07516520418443319,0.4738765818533351,0.0,0.0021091673454305326
4,0.0018000359414455781,-0.6853105548516003,0.0,-0.018194831772115748
5,0.013656127859186096,0.6094468463728732,0.0,0.02912245559385113
6,0.006896502187212612,-0.5408449672625443,0.0,-0.03712042628369842
7,-0.009097806148920562,1.1817407496093224,0.0,0.023030722604423935
8,0.04244543466724951,-0.4445869794918104,0.0,-0.009227414433259971
9,-0.00985769763135947,0.6289983345172881,0.0,-0.023931787061953154
10,0.013422077435625806,-0.817878626787392,0.0,0.029501720201351233
11,-0.06163575897652594,1.0186562223620117,0.0,-0.039423992890922833
12,0.0725184715277493,0.22342323666213104,0.0,0.027757168949624524
13,-0.06569221202962532,-0.9029174781235363,0.0,-0.027664021207540114
14,0.03752309432384407,0.33768818927928057,0.0,0.02624743661421353
15,-0.0030146895245809152,-0.29292502091786293,0.0,-0.0006870042991523123
16,-0.006972975502152094,-0.16776497973843305,0.0,-0.003454879279974053
17,-0.007263244061796315,0.3849049777858019,0.0,0.001644521518381633
18,0.010718330158854846,-0.11558327675744862,0.0,0.0032230165272490547
19,0.000539874076136651,0.19175691150848587,0.0,-0.0013761978693420769
20,-0.011442478075391619,0.4267666063902761,0.0,-0.00889098237389873
21,0.037975502900613745,0.11154266008114268,0.0,0.016266202345779784
22,0.02866822636589966,0.24795432863310835,0.0,-0.011545481094074163
23,0.04473625205963613,-0.4158581550669547,0.0,0.0834284879631753
24,-0.012203997326097199,0.5805580758040254,0.0,-0.0656088090150973
