time,label,q05,q25,q50,q75,q95,mean
2025-04-20 00:00:00,Sigma_spot_spot,142.2955463197816,142.2955463197816,142.2955463197816,142.2955463197816,142.2955463197816,142.29554631978297
2025-04-20 01:00:00,Sigma_spot_spot,139.80479144582458,141.27412316408504,142.2745013080152,143.36143874936613,144.7599095259457,142.32558909315782
2025-04-20 02:00:00,Sigma_spot_spot,138.86404661269714,140.76575676972197,142.2504409452181,143.87401961136823,146.01284704627594,142.34038060637025
2025-04-20 03:00:00,Sigma_spot_spot,138.17336743288482,140.57149952057253,142.2409900644889,144.15736091245032,146.9801362459224,142.40235972878133
2025-04-20 04:00:00,Sigma_spot_spot,137.646375499735,140.41870226628367,142.2931993772752,144.31312163890743,147.5270316397538,142.4220932556713
2025-04-20 05:00:00,Sigma_spot_spot,137.08894173593958,140.15188137741177,142.3637804964756,144.70285327857567,148.0790545186822,142.44106490151492
2025-04-20 06:00:00,Sigma_spot_spot,136.53042353481362,139.99118808892644,142.39780735915951,144.83078501354203,148.4454672599041,142.41119606473296
2025-04-20 07:00:00,Sigma_spot_spot,136.02763133776958,139.94041308698152,142.30640172145507,145.06036033740605,149.14077655215766,142.44022233442902
2025-04-20 08:00:00,Sigma_spot_spot,135.62398863338152,139.48660810794667,142.34552595136608,145.22335868090772,149.40563008508212,142.44487732124728
2025-04-20 09:00:00,Sigma_spot_spot,135.48794264582534,139.46969691287163,142.2537180385602,145.53084598370282,149.78425813044345,142.4948361725349
2025-04-20 10:00:00,Sigma_spot_spot,135.22655367216444,139.50052497453402,142.44368247089227,145.63381773995727,150.32801836308292,142.6102045925325
2025-04-20 11:00:00,Sigma_spot_spot,134.78901096506522,139.21690707629023,142.53213501736994,145.81751987001007,151.09489483897596,142.61278085346234
2025-04-20 12:00:00,Sigma_spot_spot,134.6746763198905,139.29000211090687,142.50811046569765,146.24843706092048,151.35217416402952,142.69080433270094
2025-04-20 13:00:00,Sigma_spot_spot,134.35948330700077,138.97766669953134,142.42530563455435,146.3416705307972,151.6043321826877,142.71790023700183
2025-04-20 14:00:00,Sigma_spot_spot,134.4008718644228,138.8544601106429,142.46848015285713,146.36350115187383,152.1555272630325,142.7912641448247
2025-04-20 15:00:00,Sigma_spot_spot,134.05412670846832,138.88118622807514,142.667013893552,146.6078042016719,152.58620590875782,142.86046785633326
2025-04-20 16:00:00,Sigma_spot_spot,133.70505873683229,138.6467814811767,142.77950855581128,146.81975490057465,152.98496823612095,142.8952952084597
2025-04-20 17:00:00,Sigma_spot_spot,133.2858293258925,138.44476819952504,142.85742440628522,147.06101559633836,152.80208179700327,142.85086189113815
2025-04-20 18:00:00,Sigma_spot_spot,133.02059263232093,138.41426664818252,142.62233969833432,147.29188746322006,153.5599735907368,142.87257336225798
2025-04-20 19:00:00,Sigma_spot_spot,132.9156530558053,138.39954499284875,142.57328148358786,147.18036121154728,153.69568972271054,142.92956795129427
2025-04-20 20:00:00,Sigma_spot_spot,132.77583559833337,138.34436253833684,142.65598624823303,147.3648800433922,154.0464121028658,142.89750651089477
2025-04-20 21:00:00,Sigma_spot_spot,132.35322141151084,138.11478102983048,142.55473147414938,147.59033536268646,154.65013001442958,142.90400420581403
2025-04-20 22:00:00,Sigma_spot_spot,132.4035601984475,138.20268204735464,142.51398287126105,147.72196395747665,154.84334381889704,142.92605235187472
2025-04-20 23:00:00,Sigma_spot_spot,131.9947998974215,138.10139529143026,142.4620042672716,147.635261043279,154.92629265097608,142.8801209668919
2025-04-21 00:00:00,Sigma_spot_spot,131.73600549226165,137.72000624755634,142.45629209720107,147.8833632572626,155.57795126684715,142.9262309757046
2025-04-21 01:00:00,Sigma_spot_spot,131.49373094785423,137.77970344711022,142.29101895419848,147.91775252156148,155.80869364471903,142.87784061066884
2025-04-21 02:00:00,Sigma_spot_spot,131.16111704281667,137.83312084362296,142.48549639819362,147.75501361973406,156.1692528420955,142.90175871040617
2025-04-21 03:00:00,Sigma_spot_spot,130.54773803335604,137.80303063535433,142.39999741149327,147.78830008573428,156.23974804488512,142.84681236829203
2025-04-21 04:00:00,Sigma_spot_spot,130.47479502096536,137.67193121682294,142.2535676400955,148.32825441287721,156.3822512520998,142.92859329070205
2025-04-21 05:00:00,Sigma_spot_spot,130.20173699695616,137.785239107676,142.48302788832902,148.28711519625244,156.8999127358343,142.93087151742833
2025-04-21 06:00:00,Sigma_spot_spot,130.10107972963675,137.6995666571076,142.3627378953335,148.0748442435269,156.53482044320612,142.98539255769782
2025-04-21 07:00:00,Sigma_spot_spot,130.01291017296427,137.4708856775722,142.56752865684712,148.46938507378258,157.11862279360955,143.04483814088434
2025-04-21 08:00:00,Sigma_spot_spot,129.6891061175515,137.5946650068773,142.6934766290826,148.6070033002159,157.6554370376279,143.0700526050878
2025-04-21 09:00:00,Sigma_spot_spot,129.4772777011408,137.08156531379765,142.76084633897796,148.37141252185168,157.82275761606564,143.077071584815
2025-04-21 10:00:00,Sigma_spot_spot,129.14182180301597,137.04467781719904,142.6635215568997,148.74636905000477,157.655904745345,143.10520718228727
2025-04-21 11:00:00,Sigma_spot_spot,128.68115063186107,137.18473930090784,142.90995010744098,148.8911124878009,158.12776666708777,143.14445948144225
2025-04-21 12:00:00,Sigma_spot_spot,128.31505729876017,137.21310860603114,142.58994640685083,148.79182379501694,157.88492593154712,143.10876613746075
