side,label,wind_driver,intensity_year_inv,bandwidth,polynomial_degree
negative_low_price,corrected_negative_low_price,0.0021,4.008021273723498,0.25,0
negative_low_price,corrected_negative_low_price,0.00654374444444444,4.009697535941308,0.25,0
negative_low_price,corrected_negative_low_price,0.010987488888888881,4.0096269451478515,0.25,0
negative_low_price,corrected_negative_low_price,0.015431233333333322,4.0079651955399855,0.25,0
negative_low_price,corrected_negative_low_price,0.019874977777777764,4.0047936702982785,0.25,0
negative_low_price,corrected_negative_low_price,0.024318722222222203,4.000026874481849,0.25,0
negative_low_price,corrected_negative_low_price,0.028762466666666646,3.9941549483188985,0.25,0
negative_low_price,corrected_negative_low_price,0.033206211111111085,3.987138317695453,0.25,0
negative_low_price,corrected_negative_low_price,0.037649955555555524,3.9790862003135654,0.25,0
negative_low_price,corrected_negative_low_price,0.04209369999999996,3.9702387335747136,0.25,0
negative_low_price,corrected_negative_low_price,0.0465374444444444,3.960685095154351,0.25,0
negative_low_price,corrected_negative_low_price,0.05098118888888885,3.950532654906345,0.25,0
negative_low_price,corrected_negative_low_price,0.05542493333333329,3.9396823402042607,0.25,0
negative_low_price,corrected_negative_low_price,0.059868677777777726,3.927966939221694,0.25,0
negative_low_price,corrected_negative_low_price,0.06431242222222218,3.9156034364799632,0.25,0
negative_low_price,corrected_negative_low_price,0.06875616666666662,3.90269794505408,0.25,0
negative_low_price,corrected_negative_low_price,0.07319991111111106,3.889298255406093,0.25,0
negative_low_price,corrected_negative_low_price,0.0776436555555555,3.8754194716325157,0.25,0
negative_low_price,corrected_negative_low_price,0.08208739999999994,3.8609747135637864,0.25,0
negative_low_price,corrected_negative_low_price,0.08653114444444437,3.845851762840828,0.25,0
negative_low_price,corrected_negative_low_price,0.09097488888888881,3.8302030286662387,0.25,0
negative_low_price,corrected_negative_low_price,0.09541863333333327,3.8141019230204,0.25,0
negative_low_price,corrected_negative_low_price,0.0998623777777777,3.7973674790436434,0.25,0
negative_low_price,corrected_negative_low_price,0.10430612222222214,3.77997329885313,0.25,0
negative_low_price,corrected_negative_low_price,0.10874986666666658,3.762124855334276,0.25,0
negative_low_price,corrected_negative_low_price,0.11319361111111102,3.7437808912759865,0.25,0
negative_low_price,corrected_negative_low_price,0.11763735555555546,3.724949979402936,0.25,0
negative_low_price,corrected_negative_low_price,0.1220810999999999,3.705604428775834,0.25,0
negative_low_price,corrected_negative_low_price,0.12652484444444434,3.685840530619536,0.25,0
negative_low_price,corrected_negative_low_price,0.13096858888888877,3.66561826782375,0.25,0
negative_low_price,corrected_negative_low_price,0.13541233333333322,3.6449019461717684,0.25,0
negative_low_price,corrected_negative_low_price,0.13985607777777764,3.6238036460977416,0.25,0
negative_low_price,corrected_negative_low_price,0.1442998222222221,3.6023177367956443,0.25,0
negative_low_price,corrected_negative_low_price,0.14874356666666655,3.5803463646710583,0.25,0
negative_low_price,corrected_negative_low_price,0.15318731111111097,3.557984893140345,0.25,0
negative_low_price,corrected_negative_low_price,0.15763105555555543,3.535177573282242,0.25,0
negative_low_price,corrected_negative_low_price,0.16207479999999985,3.5118712850920595,0.25,0
negative_low_price,corrected_negative_low_price,0.1665185444444443,3.488131999515854,0.25,0
negative_low_price,corrected_negative_low_price,0.17096228888888873,3.4638825959449115,0.25,0
negative_low_price,corrected_negative_low_price,0.17540603333333318,3.4390493194435146,0.25,0
negative_low_price,corrected_negative_low_price,0.1798497777777776,3.4135466092756173,0.25,0
negative_low_price,corrected_negative_low_price,0.18429352222222206,3.3874245027278915,0.25,0
negative_low_price,corrected_negative_low_price,0.18873726666666651,3.3606017586163306,0.25,0
negative_low_price,corrected_negative_low_price,0.19318101111111094,3.332928583041583,0.25,0
negative_low_price,corrected_negative_low_price,0.1976247555555554,3.3043815951285076,0.25,0
negative_low_price,corrected_negative_low_price,0.20206849999999982,3.2749310748465557,0.25,0
negative_low_price,corrected_negative_low_price,0.20651224444444427,3.24454288106147,0.25,0
negative_low_price,corrected_negative_low_price,0.2109559888888887,3.2131374694405777,0.25,0
negative_low_price,corrected_negative_low_price,0.21539973333333315,3.1806216440021227,0.25,0
negative_low_price,corrected_negative_low_price,0.2198434777777776,3.146936992465805,0.25,0
negative_low_price,corrected_negative_low_price,0.22428722222222203,3.1120332850447467,0.25,0
negative_low_price,corrected_negative_low_price,0.22873096666666648,3.0757748091276946,0.25,0
negative_low_price,corrected_negative_low_price,0.2331747111111109,3.0381357483792435,0.25,0
negative_low_price,corrected_negative_low_price,0.23761845555555536,2.9989644573623,0.25,0
negative_low_price,corrected_negative_low_price,0.24206219999999978,2.957993524034396,0.25,0
negative_low_price,corrected_negative_low_price,0.24650594444444424,2.9151226668354564,0.25,0
negative_low_price,corrected_negative_low_price,0.2509496888888887,2.8702530778846405,0.25,0
negative_low_price,corrected_negative_low_price,0.25539343333333314,2.8422200998731504,0.25,0
negative_low_price,corrected_negative_low_price,0.25983717777777754,2.820209549896659,0.25,0
negative_low_price,corrected_negative_low_price,0.264280922222222,2.7943076744534587,0.25,0
negative_low_price,corrected_negative_low_price,0.26872466666666645,2.7639103944590313,0.25,0
negative_low_price,corrected_negative_low_price,0.2731684111111109,2.7287158017493174,0.25,0
negative_low_price,corrected_negative_low_price,0.2776121555555553,2.6883044902870945,0.25,0
negative_low_price,corrected_negative_low_price,0.28205589999999975,2.6580493790700084,0.25,0
negative_low_price,corrected_negative_low_price,0.2864996444444442,2.640100222453241,0.25,0
negative_low_price,corrected_negative_low_price,0.29094338888888865,2.6181232327412927,0.25,0
negative_low_price,corrected_negative_low_price,0.2953871333333331,2.5919394782954086,0.25,0
negative_low_price,corrected_negative_low_price,0.2998308777777775,2.561129902836998,0.25,0
negative_low_price,corrected_negative_low_price,0.30427462222222196,2.525718633878034,0.25,0
negative_low_price,corrected_negative_low_price,0.3087183666666664,2.4854717099280723,0.25,0
negative_low_price,corrected_negative_low_price,0.31316211111111086,2.4698338576923775,0.25,0
negative_low_price,corrected_negative_low_price,0.31760585555555526,2.456685014124489,0.25,0
negative_low_price,corrected_negative_low_price,0.3220495999999997,2.4387212174821036,0.25,0
negative_low_price,corrected_negative_low_price,0.32649334444444417,2.415844615441211,0.25,0
negative_low_price,corrected_negative_low_price,0.3309370888888886,2.3875965728489206,0.25,0
negative_low_price,corrected_negative_low_price,0.3353808333333331,2.3538817914446737,0.25,0
negative_low_price,corrected_negative_low_price,0.33982457777777747,2.314149695362892,0.25,0
negative_low_price,corrected_negative_low_price,0.3442683222222219,2.2679902715033307,0.25,0
negative_low_price,corrected_negative_low_price,0.3487120666666664,2.215161729989936,0.25,0
negative_low_price,corrected_negative_low_price,0.35315581111111083,2.1845130833611144,0.25,0
negative_low_price,corrected_negative_low_price,0.3575995555555552,2.1621030769158534,0.25,0
negative_low_price,corrected_negative_low_price,0.3620432999999997,2.132875549444323,0.25,0
negative_low_price,corrected_negative_low_price,0.36648704444444413,2.0963264031194013,0.25,0
negative_low_price,corrected_negative_low_price,0.3709307888888886,2.051881546081531,0.25,0
negative_low_price,corrected_negative_low_price,0.37537453333333304,2.04590545771507,0.25,0
negative_low_price,corrected_negative_low_price,0.37981827777777744,2.046539000467549,0.25,0
negative_low_price,corrected_negative_low_price,0.3842620222222219,2.1153282877030097,0.25,0
negative_low_price,corrected_negative_low_price,0.38870576666666634,2.2007437829500134,0.25,0
negative_low_price,corrected_negative_low_price,0.3931495111111108,2.283633506707632,0.25,0
negative_low_price,corrected_negative_low_price,0.39759325555555525,2.364292413129463,0.25,0
negative_low_price,corrected_negative_low_price,0.40203699999999964,2.4422544002496527,0.25,0
negative_low_price,corrected_negative_low_price,0.4064807444444441,2.517145072923923,0.25,0
negative_low_price,corrected_negative_low_price,0.41092448888888855,2.5886471706795025,0.25,0
negative_low_price,corrected_negative_low_price,0.415368233333333,2.6568747864840603,0.25,0
negative_low_price,corrected_negative_low_price,0.4198119777777774,2.7210437425660623,0.25,0
negative_low_price,corrected_negative_low_price,0.42425572222222185,2.8070381470020003,0.25,0
negative_low_price,corrected_negative_low_price,0.4286994666666663,2.9514262786475554,0.25,0
negative_low_price,corrected_negative_low_price,0.43314321111111076,3.128131492358612,0.25,0
negative_low_price,corrected_negative_low_price,0.4375869555555552,3.3039125427382583,0.25,0
negative_low_price,corrected_negative_low_price,0.4420306999999996,3.4792542100198505,0.25,0
negative_low_price,corrected_negative_low_price,0.44647444444444406,3.694724902150449,0.25,0
negative_low_price,corrected_negative_low_price,0.4509181888888885,3.936823973013488,0.25,0
negative_low_price,corrected_negative_low_price,0.45536193333333297,4.180876837707999,0.25,0
negative_low_price,corrected_negative_low_price,0.45980567777777737,4.427590788725007,0.25,0
negative_low_price,corrected_negative_low_price,0.4642494222222218,4.676752197709109,0.25,0
negative_low_price,corrected_negative_low_price,0.46869316666666627,4.927932054973824,0.25,0
negative_low_price,corrected_negative_low_price,0.4731369111111107,5.181777858191423,0.25,0
negative_low_price,corrected_negative_low_price,0.4775806555555552,5.437386080359595,0.25,0
negative_low_price,corrected_negative_low_price,0.4820243999999996,5.695272346120923,0.25,0
negative_low_price,corrected_negative_low_price,0.48646814444444403,5.955293124854423,0.25,0
negative_low_price,corrected_negative_low_price,0.4909118888888885,6.215262944380129,0.25,0
negative_low_price,corrected_negative_low_price,0.49535563333333293,6.476833505887588,0.25,0
negative_low_price,corrected_negative_low_price,0.4997993777777774,6.739964200078059,0.25,0
negative_low_price,corrected_negative_low_price,0.5042431222222218,7.005454747390328,0.25,0
negative_low_price,corrected_negative_low_price,0.5086868666666663,7.272346264067422,0.25,0
negative_low_price,corrected_negative_low_price,0.5131306111111107,7.540701506597044,0.25,0
negative_low_price,corrected_negative_low_price,0.5175743555555551,7.809766328736216,0.25,0
negative_low_price,corrected_negative_low_price,0.5220180999999996,8.078783740957425,0.25,0
negative_low_price,corrected_negative_low_price,0.526461844444444,8.348322103800108,0.25,0
negative_low_price,corrected_negative_low_price,0.5309055888888884,8.619496839529274,0.25,0
negative_low_price,corrected_negative_low_price,0.5353493333333329,8.891095766798681,0.25,0
negative_low_price,corrected_negative_low_price,0.5397930777777773,9.164146812430396,0.25,0
negative_low_price,corrected_negative_low_price,0.5442368222222218,9.43892949390925,0.25,0
negative_low_price,corrected_negative_low_price,0.5486805666666662,9.716630125308514,0.25,0
negative_low_price,corrected_negative_low_price,0.5531243111111106,9.997124453717147,0.25,0
negative_low_price,corrected_negative_low_price,0.5575680555555551,10.279333447002616,0.25,0
negative_low_price,corrected_negative_low_price,0.5620117999999995,10.562569518521268,0.25,0
negative_low_price,corrected_negative_low_price,0.566455544444444,10.849356547551833,0.25,0
negative_low_price,corrected_negative_low_price,0.5708992888888884,11.139131511520768,0.25,0
negative_low_price,corrected_negative_low_price,0.5753430333333328,11.43300026373327,0.25,0
negative_low_price,corrected_negative_low_price,0.5797867777777773,11.7298314429179,0.25,0
negative_low_price,corrected_negative_low_price,0.5842305222222217,12.028297701841172,0.25,0
negative_low_price,corrected_negative_low_price,0.5886742666666662,12.327472394352599,0.25,0
negative_low_price,corrected_negative_low_price,0.5931180111111106,12.629472932360859,0.25,0
negative_low_price,corrected_negative_low_price,0.597561755555555,12.932921404760183,0.25,0
negative_low_price,corrected_negative_low_price,0.6020054999999995,13.23502192700366,0.25,0
negative_low_price,corrected_negative_low_price,0.6064492444444439,13.535864966651129,0.25,0
negative_low_price,corrected_negative_low_price,0.6108929888888884,13.838560627159296,0.25,0
negative_low_price,corrected_negative_low_price,0.6153367333333328,14.14043229562832,0.25,0
negative_low_price,corrected_negative_low_price,0.6197804777777772,14.441317744291545,0.25,0
negative_low_price,corrected_negative_low_price,0.6242242222222217,14.74176046957823,0.25,0
negative_low_price,corrected_negative_low_price,0.6286679666666661,15.042325649877668,0.25,0
negative_low_price,corrected_negative_low_price,0.6331117111111105,15.341218626755694,0.25,0
negative_low_price,corrected_negative_low_price,0.637555455555555,15.638844590050493,0.25,0
negative_low_price,corrected_negative_low_price,0.6419991999999994,15.938168225449164,0.25,0
negative_low_price,corrected_negative_low_price,0.646442944444444,16.23631293558497,0.25,0
negative_low_price,corrected_negative_low_price,0.6508866888888883,16.53376997997078,0.25,0
negative_low_price,corrected_negative_low_price,0.6553304333333327,16.832190003276118,0.25,0
negative_low_price,corrected_negative_low_price,0.6597741777777772,17.129764227065127,0.25,0
negative_low_price,corrected_negative_low_price,0.6642179222222216,17.426643922612634,0.25,0
negative_low_price,corrected_negative_low_price,0.6686616666666662,17.723985502493356,0.25,0
negative_low_price,corrected_negative_low_price,0.6731054111111106,18.021566865343218,0.25,0
negative_low_price,corrected_negative_low_price,0.677549155555555,18.31427400991945,0.25,0
negative_low_price,corrected_negative_low_price,0.6819928999999995,18.602484540347323,0.25,0
negative_low_price,corrected_negative_low_price,0.6864366444444439,18.888616716369768,0.25,0
negative_low_price,corrected_negative_low_price,0.6908803888888884,19.16806532783876,0.25,0
negative_low_price,corrected_negative_low_price,0.6953241333333328,19.434634922618642,0.25,0
negative_low_price,corrected_negative_low_price,0.6997678777777772,19.692895659687338,0.25,0
negative_low_price,corrected_negative_low_price,0.7042116222222217,19.939496911519484,0.25,0
negative_low_price,corrected_negative_low_price,0.7086553666666661,20.174746167712506,0.25,0
negative_low_price,corrected_negative_low_price,0.7130991111111105,20.39572185457614,0.25,0
negative_low_price,corrected_negative_low_price,0.717542855555555,20.59959502248425,0.25,0
negative_low_price,corrected_negative_low_price,0.7219865999999994,20.7894011471679,0.25,0
negative_low_price,corrected_negative_low_price,0.7264303444444439,20.961779117065852,0.25,0
negative_low_price,corrected_negative_low_price,0.7308740888888883,21.11680746408377,0.25,0
negative_low_price,corrected_negative_low_price,0.7353178333333327,21.258034971079304,0.25,0
negative_low_price,corrected_negative_low_price,0.7397615777777772,21.375853738269168,0.25,0
negative_low_price,corrected_negative_low_price,0.7442053222222216,21.465538110056244,0.25,0
negative_low_price,corrected_negative_low_price,0.7486490666666661,21.531333900841734,0.25,0
negative_low_price,corrected_negative_low_price,0.7530928111111105,21.574358657489153,0.25,0
negative_low_price,corrected_negative_low_price,0.7575365555555549,21.58775181903472,0.25,0
negative_low_price,corrected_negative_low_price,0.7619802999999994,21.567164312827764,0.25,0
negative_low_price,corrected_negative_low_price,0.7664240444444438,21.50732772590761,0.25,0
negative_low_price,corrected_negative_low_price,0.7708677888888883,21.40047246584952,0.25,0
negative_low_price,corrected_negative_low_price,0.7753115333333327,21.25585259952006,0.25,0
negative_low_price,corrected_negative_low_price,0.7797552777777771,21.064066052292965,0.25,0
negative_low_price,corrected_negative_low_price,0.7841990222222216,20.821580623129996,0.25,0
negative_low_price,corrected_negative_low_price,0.788642766666666,20.522659245800707,0.25,0
negative_low_price,corrected_negative_low_price,0.7930865111111105,20.166190500927346,0.25,0
