series,n,mean,std,skew,kurtosis
temperature_driver,26280,0.004626935939183486,0.9619333921285353,-0.8776506217049028,12.093592557333828
price_marginal_driver,26280,1.910567324988376e-05,0.6385970167725685,0.4112247717691716,84.30510189901422
price_idiosyncratic_driver,26280,1.10153953551328e-05,0.6386609782125099,0.41169336995679434,84.28777107199393
