series,model,loglik,n_params,AIC,BIC,delta_AIC
temperature_driver,Gaussian,-36269.276021817765,2,72542.55204363553,72558.90517058072,6049.5610382608575
temperature_driver,NIG,-33242.495502687336,4,66492.99100537467,66525.69725926507,0.0
price_marginal_driver,Gaussian,-25503.106349614678,2,51010.212699229356,51026.565826174556,13590.183404247844
price_marginal_driver,NIG,-18706.014647490756,4,37420.02929498151,37452.735548871904,0.0
price_idiosyncratic_driver,Gaussian,-25505.73840461009,2,51015.47680922018,51031.82993616538,13585.856104068836
price_idiosyncratic_driver,NIG,-18710.81035257567,4,37429.62070515134,37462.32695904173,0.0
