datetime,dL_J,dL_X,lambda_dL_T,sigma_J_dL_J
2023-01-01 01:00:00+00:00,-1.2205253481559941,-1.21927406831252,0.0012512798434741322,-0.04400049538932719
2023-01-01 02:00:00+00:00,-0.11870543555851507,-0.118109703892789,0.000595731665726055,-0.004279385084358739
2023-01-01 03:00:00+00:00,-0.06296731264043445,-0.0616519813172678,0.0013153313231666598,-0.0022700003352651823
2023-01-01 04:00:00+00:00,-0.20940359449808002,-0.208288454881045,0.0011151396170350173,-0.007549095074626582
2023-01-01 05:00:00+00:00,-0.11721277160688764,-0.119281149923711,-0.002068378316823355,-0.004225573868212654
2023-01-01 06:00:00+00:00,-0.1729375726052028,-0.171423631323385,0.0015139412818177813,-0.006234478356023557
2023-01-01 07:00:00+00:00,-0.45103694589616944,-0.450507635085914,0.0005293108102554138,-0.0162600875830267
2023-01-01 08:00:00+00:00,-0.27558864929311083,-0.275628227999994,-3.9578706883166435e-05,-0.009935096481931168
2023-01-01 09:00:00+00:00,-0.049524396091148844,-0.0504236984123989,-0.000899302321250056,-0.0017853770633768926
2023-01-01 10:00:00+00:00,-0.11828568705175406,-0.118982269675313,-0.000696582623558938,-0.0042642529592748
2023-01-01 11:00:00+00:00,-0.006822182973557761,-0.0071652538644024,-0.00034307089084463965,-0.00024594280727286387
2023-01-01 12:00:00+00:00,0.0994302795497799,0.100045962405807,0.0006156828560270969,0.003584506920318743
2023-01-01 13:00:00+00:00,-0.18426949566733483,-0.184064291501242,0.0002052041660928206,-0.006642999350037214
2023-01-01 14:00:00+00:00,0.6987980564835509,0.699486683719625,0.0006886272360740703,0.0251919886046033
2023-01-01 15:00:00+00:00,0.21700199920073696,0.215596885975935,-0.001405113224801978,0.00782302102920886
2023-01-01 16:00:00+00:00,-0.09211597341492787,-0.0919078152142967,0.000208158200631172,-0.003320822848661469
2023-01-01 17:00:00+00:00,0.2538199484998006,0.251868251021209,-0.0019516974785915907,0.009150324891292094
2023-01-01 18:00:00+00:00,0.2859009610414768,0.288966288854107,0.003065327812630234,0.010306860023116784
2023-01-01 19:00:00+00:00,0.15001184913281126,0.152604672801542,0.0025928236687307194,0.00540799557017401
2023-01-01 20:00:00+00:00,0.15720938940005977,0.156076686652362,-0.0011327027476977802,0.005667470179056192
2023-01-01 21:00:00+00:00,0.1762421576214289,0.17810846530504,0.0018663076836110846,0.006353610152827102
2023-01-01 22:00:00+00:00,0.003505803592541279,0.0040158235612939,0.0005100199687526211,0.0001263858182401172
2023-01-01 23:00:00+00:00,1.2975942697928704,1.29734771055947,-0.00024655923340044766,0.046778865159579915
2023-01-02 00:00:00+00:00,-0.9863211214416617,-0.9872662285253,-0.0009451070836382645,-0.035557326213632334
2023-01-02 01:00:00+00:00,0.29385851068763014,0.294876749423653,0.0010182387360228493,0.010593733316690663
