method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.62,1.6614141685904515,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.625,1.7104641412989876,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.63,1.7596989521542037,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.635,1.8090714100903593,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6399999999999999,1.8586961785719358,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6449999999999999,1.908342047361809,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6499999999999999,1.9579563836225167,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6549999999999999,2.00761410752286,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6599999999999999,2.057383440643394,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6649999999999999,2.107179704621809,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6699999999999999,2.1572403357930914,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6749999999999999,2.2078012844136614,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6799999999999999,2.25808070088137,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6849999999999999,2.3086017952256794,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.69,2.3591031989787448,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.695,2.408981219991521,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7,2.458270872558187,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.705,2.506936189112918,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.71,2.555192105424785,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.715,2.602492239285739,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.72,2.64876472080421,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.725,2.69447139844815,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.73,2.739500063935475,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.735,2.783884699324809,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.74,2.826913343729587,0.25
