wind_bin,n_hours,mean_wind,negative_low_spikes,positive_high_spikes,all_negative_return_jumps,all_positive_return_jumps,negative_low_spikes_rate_year_inv,positive_high_spikes_rate_year_inv,all_negative_return_jumps_rate_year_inv,all_positive_return_jumps_rate_year_inv
"(-0.001, 0.106]",15071,0.0524912746334019,2,150,8,169,1.1624975117775862,87.18731338331897,4.649990047110345,98.23103974520603
"(0.106, 0.212]",9874,0.15319880494227264,4,33,29,40,3.548713793801904,29.27688879886571,25.728175005063804,35.48713793801904
"(0.212, 0.319]",5617,0.2611653017625067,0,10,9,20,0.0,15.595513619369772,14.035962257432795,31.191027238739544
"(0.319, 0.425]",3892,0.36802286742034945,0,1,4,6,0.0,2.250770811921891,9.003083247687565,13.504624871531346
"(0.425, 0.531]",2630,0.47383110266159695,1,3,3,6,3.3307984790874525,9.992395437262358,9.992395437262358,19.984790874524716
"(0.531, 0.638]",1588,0.5808231108312343,5,1,5,4,27.58186397984887,5.516372795969773,27.58186397984887,22.065491183879093
"(0.638, 0.744]",1264,0.6884768987341772,2,0,2,1,13.860759493670885,0.0,13.860759493670885,6.930379746835443
"(0.744, 0.85]",592,0.7876359797297298,1,0,1,0,14.797297297297296,0.0,14.797297297297296,0.0
