method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.32999999999999996,0.06674640607386356,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.33499999999999996,0.04687400634081891,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.33999999999999997,0.025588845806301757,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.3449999999999999,0.0028321923992629507,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.3499999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.3549999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.35999999999999993,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.36499999999999994,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.36999999999999994,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.37499999999999994,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.37999999999999995,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.38499999999999995,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.38999999999999996,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.39499999999999996,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.3999999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4049999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4099999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4149999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.41999999999999993,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.42499999999999993,0.015741771018104478,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.42999999999999994,0.04898603372938522,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.43499999999999994,0.0828215003492613,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.43999999999999995,0.1172390850810435,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.44499999999999995,0.15222567497330716,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4499999999999999,0.18778207081162418,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4549999999999999,0.22388719983728972,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4599999999999999,0.2605468988843288,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.4649999999999999,0.2977361648623794,0.25,paper_kernel
