,spot_before,spot,spot_return,wind_cf,driver,corrected_negative_low_price_spike,corrected_positive_high_price_spike
2022-12-02 21:00:00,252.46,333.53,81.06999999999994,0.24780000000000002,0.24780000000000002,False,True
2022-12-13 17:00:00,590.0,665.01,75.00999999999999,0.11359999999999999,0.11359999999999999,False,True
2023-01-14 00:00:00,68.3,25.68,-42.620000000000005,0.6826000000000001,0.6826000000000001,True,False
2023-02-10 23:00:00,89.19,45.0,-44.190000000000055,0.5138,0.5138,True,False
2023-02-13 18:00:00,188.06,221.8,33.74000000000001,0.053200000000000004,0.053200000000000004,False,True
2023-03-06 08:00:00,185.0,217.09,32.09000000000003,0.0796,0.0796,False,True
2023-03-17 00:00:00,80.44,48.45,-31.99000000000001,0.5965,0.5965,True,False
2023-04-04 07:00:00,145.35,180.38,35.02999999999997,0.0621,0.0621,False,True
2023-04-04 19:00:00,147.1,180.0,32.89999999999998,0.0236,0.0236,False,True
2023-04-05 07:00:00,165.82,207.92,42.10000000000002,0.018799999999999997,0.018799999999999997,False,True
2023-04-05 19:00:00,156.52,199.56,43.039999999999964,0.0,0.0,False,True
2023-07-02 14:00:00,-266.92,-500.0,-233.07999999999998,0.6767,0.6767,True,False
2023-07-06 20:00:00,150.6,184.13,33.52999999999997,0.032799999999999996,0.032799999999999996,False,True
2023-08-10 07:00:00,134.27,192.61,58.34000000000003,0.0475,0.0475,False,True
2023-08-10 20:00:00,171.76,203.8,32.039999999999964,0.0326,0.0326,False,True
2023-08-14 19:00:00,123.87,177.79,53.91999999999996,0.0475,0.0475,False,True
2023-08-24 19:00:00,211.78,264.91,53.13000000000011,0.037200000000000004,0.037200000000000004,False,True
2023-09-04 19:00:00,138.44,198.28,59.83999999999992,0.056799999999999996,0.056799999999999996,False,True
2023-09-05 19:00:00,129.1,184.87,55.76999999999998,0.037200000000000004,0.037200000000000004,False,True
2023-09-06 19:00:00,145.83,189.83,44.0,0.0738,0.0738,False,True
2023-09-07 19:00:00,133.53,167.27,33.74000000000001,0.179,0.179,False,True
2023-09-08 19:00:00,171.82,230.0,58.180000000000064,0.0471,0.0471,False,True
2023-09-11 07:00:00,146.61,179.21,32.60000000000002,0.047400000000000005,0.047400000000000005,False,True
2023-09-11 19:00:00,266.71,524.27,257.55999999999995,0.006999999999999999,0.006999999999999999,False,True
2023-09-12 07:00:00,153.57,228.99,75.42000000000007,0.0092,0.0092,False,True
2023-09-12 19:00:00,190.53,284.02,93.49000000000001,0.013500000000000002,0.013500000000000002,False,True
2023-09-14 07:00:00,142.15,181.22,39.07000000000005,0.0417,0.0417,False,True
2023-09-14 19:00:00,173.01,235.74,62.73000000000002,0.0215,0.0215,False,True
2023-09-15 19:00:00,155.21,189.87,34.65999999999997,0.0729,0.0729,False,True
2023-09-16 19:00:00,133.56,181.24,47.680000000000064,0.0096,0.0096,False,True
2023-09-20 19:00:00,138.65,195.86,57.210000000000036,0.22219999999999998,0.22219999999999998,False,True
2023-09-21 19:00:00,195.89,274.42,78.53000000000009,0.11220000000000001,0.11220000000000001,False,True
2023-09-25 19:00:00,200.09,379.59,179.4999999999999,0.042800000000000005,0.042800000000000005,False,True
2023-09-26 07:00:00,152.26,288.55,136.28999999999996,0.052199999999999996,0.052199999999999996,False,True
2023-09-26 19:00:00,180.24,246.82,66.57999999999993,0.030699999999999998,0.030699999999999998,False,True
2023-09-27 07:00:00,141.76,259.77,118.00999999999999,0.0276,0.0276,False,True
2023-09-28 19:00:00,184.85,265.8,80.94999999999993,0.028900000000000002,0.028900000000000002,False,True
2023-09-30 13:00:00,42.76,8.76,-34.0,0.1723,0.1723,True,False
2023-10-02 19:00:00,200.01,245.05,45.039999999999964,0.0548,0.0548,False,True
2023-10-03 21:00:00,47.51,13.75,-33.75999999999999,0.6315,0.6315,True,False
2023-10-03 23:00:00,45.1,10.06,-35.04000000000002,0.5596,0.5596,True,False
2023-10-05 19:00:00,176.64,250.28,73.63999999999999,0.1705,0.1705,False,True
2023-10-09 19:00:00,189.22,221.7,32.48000000000002,0.1311,0.1311,False,True
2023-10-10 07:00:00,130.0,201.92,71.91999999999996,0.07519999999999999,0.07519999999999999,False,True
2023-10-12 19:00:00,169.9,220.99,51.09000000000003,0.0705,0.0705,False,True
2023-10-18 07:00:00,134.0,166.91,32.90999999999997,0.1431,0.1431,False,True
2023-11-30 17:00:00,226.0,261.0,35.0,0.0365,0.0365,False,True
2023-12-06 08:00:00,133.86,167.0,33.139999999999986,0.16760000000000003,0.16760000000000003,False,True
2024-03-20 18:00:00,119.68,168.54,48.8599999999999,0.006,0.006,False,True
2024-03-25 18:00:00,111.88,174.7,62.82000000000005,0.0288,0.0288,False,True
2024-04-06 13:00:00,-16.4,-59.92,-43.52000000000004,0.12119999999999999,0.12119999999999999,True,False
2024-04-15 07:00:00,115.73,169.15,53.41999999999996,0.12179999999999999,0.12179999999999999,False,True
2024-04-17 07:00:00,109.39,169.97,60.58000000000004,0.051699999999999996,0.051699999999999996,False,True
2024-04-23 07:00:00,121.4,181.26,59.860000000000014,0.0521,0.0521,False,True
2024-05-12 13:00:00,-100.06,-135.45,-35.389999999999986,0.129,0.129,True,False
2024-06-03 07:00:00,133.28,193.06,59.77999999999997,0.1245,0.1245,False,True
2024-06-04 20:00:00,176.78,235.52,58.74000000000001,0.0645,0.0645,False,True
2024-06-10 07:00:00,117.4,185.18,67.78000000000009,0.11779999999999999,0.11779999999999999,False,True
2024-06-13 20:00:00,139.66,188.35,48.690000000000055,0.045700000000000005,0.045700000000000005,False,True
2024-06-17 20:00:00,157.37,210.16,52.789999999999964,0.013500000000000002,0.013500000000000002,False,True
2024-06-20 20:00:00,155.62,200.09,44.47000000000003,0.036699999999999997,0.036699999999999997,False,True
2024-06-24 20:00:00,153.3,209.32,56.01999999999998,0.0403,0.0403,False,True
2024-06-27 20:00:00,110.08,200.04,89.95999999999992,0.0138,0.0138,False,True
2024-07-01 20:00:00,102.47,166.79,64.31999999999994,0.16210000000000002,0.16210000000000002,False,True
2024-07-08 20:00:00,136.49,257.35,120.86000000000001,0.0038,0.0038,False,True
2024-07-11 20:00:00,120.0,184.33,64.33000000000004,0.0217,0.0217,False,True
2024-07-17 20:00:00,106.89,187.95,81.06000000000006,0.1483,0.1483,False,True
2024-07-18 20:00:00,130.18,227.6,97.41999999999996,0.010700000000000001,0.010700000000000001,False,True
2024-07-19 20:00:00,121.02,190.46,69.44000000000005,0.0475,0.0475,False,True
2024-07-22 20:00:00,99.04,186.24,87.20000000000005,0.0904,0.0904,False,True
2024-07-29 20:00:00,123.24,178.07,54.82999999999993,0.0256,0.0256,False,True
2024-07-30 20:00:00,129.44,177.13,47.68999999999994,0.0179,0.0179,False,True
2024-08-05 20:00:00,152.76,250.01,97.25,0.0076,0.0076,False,True
2024-08-06 20:00:00,174.58,230.85,56.26999999999998,0.047400000000000005,0.047400000000000005,False,True
2024-08-08 20:00:00,138.49,197.31,58.819999999999936,0.0463,0.0463,False,True
2024-08-14 20:00:00,161.41,218.92,57.50999999999999,0.0787,0.0787,False,True
2024-08-26 20:00:00,190.31,231.06,40.75,0.0481,0.0481,False,True
2024-08-27 19:00:00,116.06,232.25,116.19000000000005,0.0506,0.0506,False,True
2024-08-29 20:00:00,227.49,289.27,61.77999999999997,0.0943,0.0943,False,True
2024-09-02 19:00:00,137.78,255.4,117.62,0.06269999999999999,0.06269999999999999,False,True
2024-09-03 19:00:00,300.01,656.37,356.3599999999999,0.0182,0.0182,False,True
2024-09-04 07:00:00,144.02,181.16,37.139999999999986,0.032799999999999996,0.032799999999999996,False,True
2024-09-04 19:00:00,155.7,320.07,164.3699999999999,0.1186,0.1186,False,True
2024-09-12 19:00:00,145.19,300.01,154.81999999999994,0.013999999999999999,0.013999999999999999,False,True
2024-09-23 07:00:00,133.4,203.73,70.33000000000004,0.0443,0.0443,False,True
2024-09-23 19:00:00,240.26,328.39,88.13,0.0297,0.0297,False,True
2024-09-25 19:00:00,156.2,195.42,39.219999999999914,0.1594,0.1594,False,True
2024-09-27 00:00:00,36.3,-0.06,-36.35999999999996,0.6002000000000001,0.6002000000000001,True,False
2024-10-07 18:00:00,120.71,237.65,116.93999999999994,0.051399999999999994,0.051399999999999994,False,True
2024-10-15 07:00:00,114.53,185.39,70.86000000000001,0.0425,0.0425,False,True
2024-10-17 18:00:00,123.6,186.21,62.610000000000014,0.1371,0.1371,False,True
2024-10-18 18:00:00,133.67,181.28,47.610000000000014,0.0987,0.0987,False,True
2024-10-21 18:00:00,131.54,222.11,90.57000000000005,0.0407,0.0407,False,True
2024-10-23 18:00:00,147.15,218.18,71.03000000000009,0.024,0.024,False,True
2024-10-25 18:00:00,158.73,227.32,68.58999999999992,0.061200000000000004,0.061200000000000004,False,True
2024-10-29 17:00:00,212.72,285.8,73.07999999999993,0.0863,0.0863,False,True
2024-11-04 17:00:00,181.47,290.21,108.74000000000001,0.056900000000000006,0.056900000000000006,False,True
2024-11-05 17:00:00,331.83,505.31,173.48000000000002,0.0354,0.0354,False,True
2024-11-06 07:00:00,163.4,299.99,136.59000000000003,0.0011,0.0011,False,True
2024-11-06 17:00:00,524.25,820.11,295.8600000000001,0.0009,0.0009,False,True
2024-11-07 07:00:00,157.41,219.56,62.14999999999998,0.0006,0.0006,False,True
2024-11-07 17:00:00,261.16,408.26,147.0999999999999,0.0287,0.0287,False,True
2024-11-12 17:00:00,272.73,317.89,45.15999999999997,0.0759,0.0759,False,True
2024-12-04 08:00:00,209.76,276.66,66.90000000000009,0.1255,0.1255,False,True
2024-12-12 08:00:00,599.99,655.6,55.6099999999999,0.0275,0.0275,False,True
2024-12-12 17:00:00,818.98,936.28,117.29999999999995,0.0037,0.0037,False,True
2024-12-13 08:00:00,187.71,253.0,65.28999999999996,0.0906,0.0906,False,True
2025-01-13 08:00:00,181.92,223.09,41.17000000000007,0.024300000000000002,0.024300000000000002,False,True
2025-01-15 17:00:00,333.52,377.99,44.47000000000003,0.0338,0.0338,False,True
2025-01-20 08:00:00,276.48,431.99,155.51,0.056100000000000004,0.056100000000000004,False,True
2025-01-20 17:00:00,402.12,583.4,181.2800000000001,0.043899999999999995,0.043899999999999995,False,True
2025-01-21 08:00:00,190.06,248.32,58.25999999999999,0.0707,0.0707,False,True
2025-01-21 17:00:00,212.13,301.15,89.01999999999998,0.04,0.04,False,True
2025-02-03 17:00:00,170.71,216.0,45.289999999999964,0.0233,0.0233,False,True
2025-02-06 08:00:00,180.09,219.42,39.32999999999993,0.0492,0.0492,False,True
2025-02-14 17:00:00,200.0,298.91,98.91000000000008,0.029900000000000003,0.029900000000000003,False,True
2025-02-17 18:00:00,222.92,271.0,48.08000000000004,0.040999999999999995,0.040999999999999995,False,True
2025-02-18 17:00:00,128.16,177.61,49.450000000000045,0.09880000000000001,0.09880000000000001,False,True
2025-03-07 18:00:00,149.91,216.64,66.73000000000002,0.0129,0.0129,False,True
2025-03-12 18:00:00,157.03,199.75,42.72000000000003,0.0083,0.0083,False,True
2025-03-19 18:00:00,147.56,248.18,100.62000000000012,0.0194,0.0194,False,True
2025-03-20 18:00:00,155.14,280.07,124.92999999999995,0.04,0.04,False,True
2025-03-24 18:00:00,154.15,211.99,57.84000000000003,0.0064,0.0064,False,True
2025-03-29 13:00:00,65.33,2.06,-63.27000000000004,0.1937,0.1937,True,False
2025-03-31 19:00:00,131.57,183.96,52.3900000000001,0.1242,0.1242,False,True
2025-04-01 07:00:00,129.46,179.96,50.5,0.0998,0.0998,False,True
2025-04-04 19:00:00,126.35,167.64,41.289999999999964,0.0653,0.0653,False,True
2025-04-07 07:00:00,131.1,175.97,44.870000000000005,0.1001,0.1001,False,True
2025-04-07 19:00:00,127.6,168.45,40.85000000000002,0.1267,0.1267,False,True
2025-04-08 19:00:00,118.26,180.4,62.139999999999986,0.0215,0.0215,False,True
2025-04-14 19:00:00,119.35,180.0,60.64999999999998,0.0285,0.0285,False,True
2025-04-22 20:00:00,192.32,263.2,70.88000000000011,0.0121,0.0121,False,True
2025-04-28 20:00:00,149.9,194.81,44.90999999999997,0.0437,0.0437,False,True
2025-04-30 20:00:00,130.37,176.43,46.06000000000006,0.030600000000000002,0.030600000000000002,False,True
2025-05-01 13:00:00,-85.01,-129.99,-44.98000000000002,0.0024,0.0024,True,False
2025-05-08 20:00:00,134.96,185.08,50.120000000000005,0.0676,0.0676,False,True
2025-05-10 13:00:00,-58.48,-114.53,-56.049999999999955,0.029900000000000003,0.029900000000000003,True,False
2025-05-13 20:00:00,151.07,223.58,72.5100000000001,0.0864,0.0864,False,True
2025-05-19 20:00:00,148.45,229.11,80.65999999999997,0.042699999999999995,0.042699999999999995,False,True
2025-05-20 20:00:00,141.23,192.25,51.01999999999998,0.0722,0.0722,False,True
